Date;GID;Pos;Name;Starter;DK Pts;DK Salary;Team;H/A;Oppt;Team Score;Oppt Score;Minutes;Stat line
20160204;3891;PG;Lowry, Kyle;1;57.5;$8,700;tor;A;por;110;103;39.93;30pt 6rb 8as 2st 2bl 7to 7trey 10-19fg 3-5ft
20160204;4523;PG;Lillard, Damian;1;54.75;$8,900;por;H;tor;103;110;36.00;27pt 5rb 11as 1st 1bl 3to 2trey 8-20fg 9-10ft
20160204;1881;SG;Bryant, Kobe;1;52;$5,900;lal;A;nor;99;96;32.12;27pt 12rb 2as 2st 1to 4trey 10-24fg 3-4ft
20160204;4211;SG;DeRozan, DeMar;1;43.25;$8,000;tor;A;por;110;103;35.32;29pt 5rb 4as 1st 1to 1trey 11-25fg 6-9ft
20160204;4224;SG;Harden, James;1;40.25;$10,800;hou;A;pho;111;105;36.15;17pt 9rb 6as 2st 4to 2trey 4-19fg 7-7ft
20160204;4212;PG;Holiday, Jrue;;36;$7,200;nor;H;lal;96;99;34.00;19pt 9as 1st 1bl 2to 1trey 9-20fg
20160204;3970;SG;Afflalo, Arron;1;35.75;$4,700;nyk;A;det;105;111;43.30;24pt 3rb 3as 2st 2to 1trey 8-15fg 7-8ft
20160204;4369;PG;Jackson, Reggie;1;34.75;$6,800;det;H;nyk;111;105;31.75;21pt 1rb 5as 2st 1to 3trey 6-16fg 6-10ft
20160204;4784;SG;Dejean-Jones, Bryce;1;33.75;$4,200;nor;H;lal;96;99;43.23;17pt 9rb 1as 2st 1to 1trey 6-10fg 4-8ft
20160204;4657;SG;McCollum, C.J.;1;33;$7,000;por;H;tor;103;110;33.05;21pt 6rb 2as 1st 5to 4trey 8-18fg 1-2ft
20160204;4593;SG;Goodwin, Archie;1;31.75;$5,900;pho;H;hou;105;111;37.97;22pt 1rb 7as 6to 2trey 7-14fg 6-6ft
20160204;4735;SG;Galloway, Langston;;28.75;$5,000;nyk;A;det;105;111;35.55;17pt 5rb 2as 1st 1to 2trey 7-9fg 1-2ft
20160204;4234;PG;Beverley, Patrick;1;27.25;$4,900;hou;A;pho;111;105;25.65;6pt 5rb 6as 2st 1bl 1to 1trey 2-5fg 1-2ft
20160204;4885;SG;Booker, Devin;1;27.25;$6,000;pho;H;hou;105;111;41.03;17pt 3rb 4as 1st 5to 2trey 3-12fg 9-10ft
20160204;4668;PG;Clarkson, Jordan;1;26.25;$5,500;lal;A;nor;99;96;34.73;18pt 5rb 2as 4to 2trey 8-14fg
20160204;4561;SG;Crabbe, Allen;;25.75;$4,000;por;H;tor;103;110;33.58;17pt 3rb 1as 2st 2to 1trey 5-9fg 6-6ft
20160204;4190;SG;Henderson, Gerald;;25.25;$3,200;por;H;tor;103;110;23.73;10pt 5rb 3as 1st 1bl 1trey 4-6fg 1-1ft
20160204;4159;PG;Lawson, Ty;;21.5;$3,600;hou;A;pho;111;105;22.35;12pt 2rb 4as 2to 4trey 4-9fg
20160204;4405;PG;Joseph, Cory;;20.75;$4,300;tor;A;por;110;103;25.62;12pt 3rb 3as 1st 3to 5-11fg 2-2ft
20160204;4799;PG;Russell, D'Angelo;;20.25;$4,800;lal;A;nor;99;96;29.42;13pt 3rb 3as 2to 6-12fg 1-2ft
20160204;4036;SG;Young, Nick;;19.5;$3,100;lal;A;nor;99;96;15.88;11pt 4rb 1as 1st 1to 1trey 2-3fg 6-6ft
20160204;4182;PG;Jennings, Brandon;;17.25;$4,000;det;H;nyk;111;105;16.35;11pt 3rb 2as 2to 1trey 4-6fg 2-2ft
20160204;4549;SG;Ross, Terrence;;16.75;$4,200;tor;A;por;110;103;29.80;12pt 3rb 1as 1to 5-10fg 2-3ft
20160204;3054;PG;Terry, Jason;;16.5;$3,200;hou;A;pho;111;105;16.63;5pt 6rb 1as 1st 1trey 2-5fg
20160204;4832;SG;McRae, Jordan;;14.5;$3,100;pho;H;hou;105;111;15.17;8pt 2rb 1as 1st 1trey 3-5fg 1-1ft
20160204;4370;PG;Cole, Norris;1;8.5;$5,800;nor;H;lal;96;99;13.02;2pt 2as 2st 1to 1-10fg
20160204;3816;SG;Williams, Louis;1;8.25;$5,800;lal;A;nor;99;96;31.85;8pt 1rb 1as 5to 3-7fg 2-4ft
20160204;4129;SG;Weems, Sonny;;8;$3,000;pho;H;hou;105;111;18.48;0pt 2rb 3as 1st 2to 0-5fg
20160204;3681;SG;Vujacic, Sasha;;8;$3,100;nyk;A;det;105;111;10.57;2pt 2rb 1as 1st 1-6fg
20160204;4839;SG;Hilliard, Darrun;;6.75;$3,000;det;H;nyk;111;105;14.97;6pt 1rb 1to 3-4fg
20160204;3740;PG;Calderon, Jose;1;6;$4,000;nyk;A;det;105;111;12.65;0pt 3as 1st 1to 0-3fg
20160204;4178;PG;Douglas, Toney;;3.5;$3,300;nor;H;lal;96;99; 5.75;0pt 1as 1st 0-3fg
20160204;4792;SG;Powell, Norman;1;2.75;$3,000;tor;A;por;110;103;13.47;0pt 1rb 1as 0-1fg
20160204;4873;PG;Grant, Jerian;;0;$3,100;nyk;A;det;105;111; 0.10;0pt
20160204;3789;PG;Price, Ronnie;;0;$3,000;pho;H;hou;105;111;DNP;0pt
20160204;4791;PG;Wright, Delon;;0;$3,000;tor;A;por;110;103;DNP;0pt
20160204;4717;PG;Frazier, Tim;;0;$3,000;por;H;tor;103;110;DNP;0pt
20160204;4616;SG;Caldwell-Pope, Kentavious;;0;$5,600;det;H;nyk;111;105;DNP;0pt
20160204;4207;SG;Evans, Tyreke;;0;$6,900;nor;H;lal;96;99;DNP;0pt
20160204;3518;PG;Blake, Steve;;0;$3,000;det;H;nyk;111;105;DNP;0pt
20160204;4803;PG;Huertas, Marcelo;;0;$3,000;lal;A;nor;99;96;DNP;0pt
20160204;4382;PG;Knight, Brandon;;0;$7,200;pho;H;hou;105;111;DNP;0pt
20160204;4077;SG;Gordon, Eric;;0;$4,600;nor;H;lal;96;99;NA;0pt
20160204;4183;SG;Meeks, Jodie;;0;$3,000;det;H;nyk;111;105;NA;0pt
20160204;4266;SG;Bledsoe, Eric;;0;$8,300;pho;H;hou;105;111;NA;0pt
20160204;4760;PG;Dinwiddie, Spencer;;0;$3,000;det;H;nyk;111;105;NA;0pt
20160204;4482;PF;Davis, Anthony;1;57.75;$10,000;nor;H;lal;96;99;38.53;39pt 11rb 1st 1bl 1to 16-25fg 7-12ft
20160204;3510;SF;Anthony, Carmelo;1;47.25;$8,500;nyk;A;det;105;111;40.00;19pt 11rb 8as 1st 3to 1trey 4-18fg 10-14ft
20160204;4838;SF;Johnson, Stanley;1;46.25;$4,400;det;H;nyk;111;105;44.02;22pt 9rb 5as 2st 1bl 2to 1trey 7-12fg 7-8ft
20160204;3621;SF;Ariza, Trevor;1;36.75;$6,200;hou;A;pho;111;105;37.28;22pt 3rb 2as 4st 3to 3trey 7-15fg 5-8ft
20160204;3871;SF;Tucker, P.J.;1;36.25;$5,400;pho;H;hou;105;111;31.35;13pt 9rb 2as 5st 4to 2trey 4-10fg 3-3ft
20160204;3975;SF;Brewer, Corey;1;34;$4,000;hou;A;pho;111;105;24.53;24pt 1as 4st 2to 3trey 9-12fg 3-3ft
20160204;4407;SF;Morris, Marcus;1;26.5;$5,400;det;H;nyk;111;105;39.10;13pt 4rb 4as 1st 1trey 5-12fg 2-2ft
20160204;4680;PF;Randle, Julius;1;25;$6,700;lal;A;nor;99;96;31.93;11pt 8rb 3as 1to 5-10fg 1-2ft
20160204;4453;PF;Morris, Markieff;1;23.25;$5,700;pho;H;hou;105;111;28.77;14pt 5rb 2as 1bl 5to 1trey 4-12fg 5-5ft
20160204;4085;PF;Anderson, Ryan;;23;$6,400;nor;H;lal;96;99;32.82;17pt 4rb 2trey 7-14fg 1-2ft
20160204;4302;PF;Patterson, Patrick;;22.5;$3,800;tor;A;por;110;103;27.87;6pt 4rb 3as 3st 2trey 2-3fg
20160204;4478;SF;Teletovic, Mirza;;21.5;$4,000;pho;H;hou;105;111;19.23;15pt 4rb 3trey 5-12fg 2-2ft
20160204;3765;PF;Ilyasova, Ersan;1;21.25;$5,500;det;H;nyk;111;105;30.90;12pt 5rb 1as 1st 3to 2trey 4-9fg 2-2ft
20160204;3503;PF;Scola, Luis;1;19.75;$4,000;tor;A;por;110;103;22.33;6pt 5rb 3as 1bl 2trey 2-5fg
20160204;3670;PF;Smith, Josh;;18.75;$4,800;hou;A;pho;111;105;21.32;6pt 3rb 3as 1st 1bl 1trey 1-4fg 3-4ft
20160204;4766;PF;Capela, Clint;;18.5;$5,500;hou;A;pho;111;105;15.32;10pt 4rb 2bl 1to 5-5fg 0-2ft
20160204;4261;SF;Aminu, Al-Farouq;1;14.5;$5,200;por;H;tor;103;110;31.95;7pt 4rb 1st 1trey 3-8fg
20160204;4276;PF;Davis, Ed;;14.25;$4,100;por;H;tor;103;110;21.38;4pt 7rb 1st 1to 2-3fg
20160204;4226;SF;Cunningham, Dante;;12.25;$3,100;nor;H;lal;96;99;31.68;1pt 5rb 2as 1bl 0-1fg 1-2ft
20160204;4384;SF;Thomas, Lance;;12.25;$3,300;nyk;A;det;105;111;30.63;9pt 1rb 1as 1trey 2-6fg 4-4ft
20160204;3733;PF;Bass, Brandon;;11.75;$3,700;lal;A;nor;99;96;24.52;5pt 5rb 1as 2to 2-6fg 1-2ft
20160204;4871;PF;Porzingis, Kristaps;1;10.5;$6,800;nyk;A;det;105;111;24.20;5pt 4rb 1trey 2-9fg
20160204;4530;SF;Harkless, Maurice;1;9.75;$3,000;por;H;tor;103;110;16.17;2pt 1rb 1as 1st 2bl 2to 1-1fg
20160204;4049;PF;Tolliver, Anthony;;9.75;$3,100;det;H;nyk;111;105;14.97;3pt 5rb 1trey 1-1fg
20160204;4227;SF;Thornton, Marcus;;5.25;$3,700;hou;A;pho;111;105; 8.15;4pt 1rb 1-8fg 2-2ft
