Date;GID;Pos;Name;Starter;DK Pts;DK Salary;Team;H/A;Oppt;Team Score;Oppt Score;Minutes;Stat line
20160119;4079;PG;Westbrook, Russell;1;57.25;$10,700;okc;A;den;110;104;38.75;27pt 5rb 12as 3st 4to 1trey 10-22fg 6-9ft
20160119;4490;SG;Middleton, Khris;1;46.25;$6,900;mil;A;mia;91;79;35.70;22pt 7rb 7as 2st 2trey 8-20fg 4-4ft
20160119;4212;PG;Holiday, Jrue;;37.5;$6,000;nor;H;min;114;99;27.08;19pt 2rb 9as 1st 1to 2trey 7-14fg 3-4ft
20160119;4885;SG;Booker, Devin;1;36;$4,800;pho;H;ind;94;97;39.52;32pt 2as 4to 6trey 9-16fg 8-8ft
20160119;4382;PG;Knight, Brandon;1;36;$7,200;pho;H;ind;94;97;40.73;21pt 8rb 4as 1st 8to 2trey 8-22fg 3-3ft
20160119;4704;SG;Wiggins, Andrew;1;35;$6,900;min;A;nor;99;114;34.55;21pt 4rb 2as 3st 7-17fg 7-10ft
20160119;3745;SG;Ellis, Monta;1;30.75;$6,500;ind;A;pho;97;94;30.97;20pt 3rb 3as 2st 3to 7-19fg 6-6ft
20160119;4773;PG;Mudiay, Emmanuel;1;28.75;$5,400;den;H;okc;104;110;33.23;13pt 3rb 9as 3to 5-14fg 3-7ft
20160119;4782;SG;Young, Joseph;;25.75;$3,100;ind;A;pho;97;94;19.07;11pt 3rb 5as 2st 2to 1trey 4-10fg 2-3ft
20160119;4207;SG;Evans, Tyreke;1;24.25;$7,800;nor;H;min;114;99;20.92;13pt 3rb 5as 1bl 4to 6-11fg 1-1ft
20160119;4414;PG;Rubio, Ricky;1;23.75;$6,900;min;A;nor;99;114;29.73;15pt 1rb 4as 1st 2to 1trey 5-7fg 4-4ft
20160119;4882;PG;Payne, Cameron;;21.5;$3,600;okc;A;den;110;104;20.47;0pt 4rb 6as 4st 1to 0-9fg
20160119;4076;PG;Bayless, Jerryd;;21.25;$4,300;mil;A;mia;91;79;29.77;11pt 3rb 3as 1st 3to 3trey 4-7fg
20160119;4678;SG;Harris, Gary;1;21;$4,400;den;H;okc;104;110;30.47;11pt 6rb 2as 3to 2trey 3-8fg 3-4ft
20160119;4077;SG;Gordon, Eric;1;19.25;$5,100;nor;H;min;114;99;24.97;11pt 1rb 3as 1st 2to 3trey 4-9fg
20160119;4370;PG;Cole, Norris;;15.25;$3,800;nor;H;min;114;99;23.03;7pt 5rb 2as 2to 3-6fg 1-1ft
20160119;4706;PG;LaVine, Zach;;14.75;$4,800;min;A;nor;99;114;18.02;4pt 1rb 4as 1st 1bl 1to 2-5fg
20160119;4575;PG;Carter-Williams, Michael;1;14.25;$6,900;mil;A;mia;91;79;25.20;7pt 3rb 2st 1to 3-5fg 1-2ft
20160119;4522;SG;Barton, Will;;13.75;$6,100;den;H;okc;104;110;18.95;6pt 3rb 2as 1bl 2to 1-6fg 4-4ft
20160119;4788;SG;Richardson, Josh;;13;$3,000;mia;H;mil;79;91;30.22;3pt 2rb 1as 3st 1-8fg 1-2ft
20160119;4593;SG;Goodwin, Archie;;13;$3,100;pho;H;ind;94;97;20.27;8pt 2rb 1st 1bl 3to 2-7fg 4-4ft
20160119;4756;SG;Johnson, Tyler;1;12;$5,100;mia;H;mil;79;91;33.90;3pt 4rb 1as 2st 3to 0-6fg 3-4ft
20160119;4559;SG;Roberson, Andre;1;11.5;$3,200;okc;A;den;110;104;14.20;2pt 2rb 2as 1st 1bl 1-2fg
20160119;3858;PG;Foye, Randy;;11.25;$3,400;den;H;okc;104;110;14.77;3pt 3rb 1as 1st 1bl 2to 1-5fg 1-2ft
20160119;4515;SG;Waiters, Dion;;9;$3,900;okc;A;den;110;104;23.07;5pt 2as 1st 3to 1trey 2-10fg
20160119;3571;SG;Wade, Dwyane;1;8;$6,700;mia;H;mil;79;91;21.17;2pt 2rb 4as 5to 1-6fg
20160119;3760;SG;Green, Gerald;;8;$4,600;mia;H;mil;79;91;18.85;6pt 1as 1to 2trey 2-10fg
