Date,PlayerName,Position,Salary,Pts,R,A,S,T,B,FP
2-5-16,Thaddeus Young (BKN),PF,$6200,14,14,7,2,3,0,46
2-5-16,Goran Dragic (MIA),PG,$5400,12,8,9,2,0,0,39.5
2-5-16,Joe Johnson (BKN),SF,$5100,27,6,11,2,6,1,58
2-5-16,Evan Turner (BOS),SG,$5100,19,12,6,0,1,1,46
2-5-16,Lavoy Allen (IND),C,$3800,13,14,2,0,3,1,35.5
2-6-16,Kevin Durant (OKC),SF,$10500,40,14,5,1,5,2,71.5
2-6-16,Kyrie Irving (CLE),PG,$6900,29,4,3,2,3,0,42.5
2-6-16,Nicolas Batum (CHA),sf,$6300,26,11,9,1,6,1,57.25
2-6-16,Julius Randle (LAL),PF,$6200,15,17,4,2,3,0,46.25
2-6-16,Gorgui Dieng (MIN),C,$6100,24,13,7,0,1,1,53.75
2-6-16,Deron Williams (DAL),PG,$5600,22,2,11,1,0,0,45.5
2-6-16,Matt Barnes (MEM),SF,$4700,17,11,5,0,2,1,43.25
2-6-16,Gerald Henderson (POR),SG,$3600,16,4,1,2,1,1,28.5
2-7-16,Rajon Rondo (SAC),PG,$8000,14,5,15,6,4,0,54.75
2-7-16,Isaiah Thomas (BOS),PG,$7500,22,4,9,2,1,1,47
2-7-16,Kristaps Porzingis (NY),PF,$7000,21,13,2,0,2,2,45.25
2-7-16,Will Barton (DEN),SG,$5700,19,11,5,1,0,1,45.75
2-7-16,Aaron Gordon (ORL),PF,$5500,11,13,4,2,0,4,46.75
2-7-16,Kent Bazemore (ATL),SF,$5200,23,8,1,2,4,0,38
2-7-16,Jared Sullinger (BOS),C,$5000,21,6,1,3,3,0,35
2-7-16,Elfrid Payton (ORL),PG,$5000,12,4,12,1,3,1,40
2-8-16,Paul Millsap (ATL),PF,$7900,22,13,6,4,6,1,57.25
2-8-16,Nikola Vucevic (ORL),C,$7400,28,13,6,0,1,1,56.25
2-8-16,Kyrie Irving (CLE),PG,$7200,32,3,12,0,2,1,58.75
2-8-16,Jrue Holiday (NO),PG,$6900,27,6,9,3,1,0,55
2-8-16,Nicolas Batum (CHA),sf,$6700,19,13,8,2,4,0,52.25
2-8-16,Kenneth Faried (DEN),PF,$5700,22,13,2,0,0,1,44.75
2-8-16,Jerami Grant (PHI),SF,$4500,17,11,2,0,1,1,36.75
2-8-16,Mario Hezonja (ORL),SG,$3400,14,9,3,0,3,0,29.25
2-9-16,John Wall (WSH),PG,$10000,28,5,17,1,1,0,64.25
2-9-16,Carmelo Anthony (NY),SF,$8400,33,13,2,2,4,0,57.25
2-9-16,Kawhi Leonard (SA),SF,$7600,23,9,4,3,3,1,47.25
2-9-16,Greg Monroe (MIL),C,$6700,29,12,3,1,3,2,54.5
2-9-16,Danny Green (SA),SG,$4700,15,7,3,3,1,1,36.75
2-9-16,Raymond Felton (DAL),SG,$4600,17,7,5,1,0,0,35.75
2-9-16,Andrew Bogut (GS),C,$4400,13,11,1,3,2,6,46.75
2-9-16,Jonas Jerebko (BOS),PF,$3100,13,5,0,0,0,0,19.75
2-10-16,Chris Paul (LAC),PG,$9100,35,5,13,3,2,1,70.75
2-10-16,Karl-Anthony Towns (MIN),C,$8300,35,11,1,0,0,3,57.75
2-10-16,Isaiah Thomas (BOS),PG,$7700,36,4,11,1,2,0,60.5
2-10-16,Robert Covington (PHI),SF,$5800,29,5,1,6,7,0,48.75
2-10-16,Jared Sullinger (BOS),C,$5200,21,11,7,1,0,0,49.25
2-10-16,Tristan Thompson (CLE),PF,$5100,15,13,4,0,0,1,40.75
2-10-16,Louis Williams (LAL),SG,$4900,28,4,2,0,0,1,40
2-10-16,Maurice Harkless (POR),SF,$3600,19,13,1,2,0,0,42.75
2-11-16,Giannis Antetokounmpo (MIL),SF,$7100,17,13,3,0,2,1,40.75
2-11-16,Khris Middleton (MIL),SG,$6900,27,6,9,5,2,0,57.5
2-11-16,Jrue Holiday (NO),PG,$6800,23,4,6,5,4,0,45.5
2-11-16,Bradley Beal (WSH),SG,$6500,19,3,5,0,2,1,32.25
2-11-16,Norris Cole (NO),PG,$5400,15,5,6,0,1,0,30.25
2-11-16,Serge Ibaka (OKC),PF,$5300,18,7,3,1,1,3,39.25
2-11-16,Enes Kanter (OKC),C,$5100,11,12,1,0,1,1,30.5
2-11-16,Jabari Parker (MIL),PF,$5000,17,9,4,1,4,0,34.25
2-18-16,John Wall (WSH),PG,$9600,17,6,11,4,2,0,50.5
2-18-16,Chris Paul (LAC),PG,$9000,28,5,12,1,2,1,58.25
2-18-16,Derrick Rose (CHI),PG,$7300,28,7,2,1,3,0,41.25
2-18-16,Marcin Gortat (WSH),C,$6400,22,10,0,2,1,5,49.5
2-18-16,Tristan Thompson (CLE),PF,$5200,16,10,0,3,0,2,40
2-18-16,Jamal Crawford (LAC),SG,$5100,19,2,6,0,7,0,28.5
2-18-16,Nene Hilario (WSH),PF,$4100,16,5,4,1,1,0,29.75
2-18-16,Tony Snell (CHI),SF,$3200,9,7,2,0,1,1,22.75
2-19-16,DeMarcus Cousins (SAC),PF,$11000,37,20,2,1,6,4,74
2-19-16,Damian Lillard (POR),PG,$9200,51,0,7,6,0,0,78
2-19-16,Jrue Holiday (NO),PG,$6900,24,3,12,4,4,0,53.75
2-19-16,Victor Oladipo (ORL),SG,$6400,17,14,3,2,2,0,45
2-19-16,Luol Deng (MIA),SF,$5000,30,11,0,4,1,0,53.25
2-19-16,Ian Mahinmi (IND),C,$4600,19,11,3,2,3,2,45.25
2-19-16,Kris Humphries (PHX),PF,$3100,18,12,2,1,0,2,44.5
2-19-16,Josh McRoberts (MIA),PF,$3000,19,6,10,0,1,0,44
2-20-16,Paul Millsap (ATL),PF,$7800,27,11,6,1,3,2,56.75
2-20-16,Klay Thompson (GS),SG,$7600,32,7,3,3,0,0,53.25
2-20-16,Hassan Whiteside (MIA),C,$7200,25,23,0,0,1,2,58.75
2-20-16,Goran Dragic (MIA),PG,$5700,24,7,8,0,0,1,46.75
2-20-16,Jabari Parker (MIL),PF,$5400,28,13,2,0,0,0,48.75
2-20-16,Robin Lopez (NY),C,$5200,26,16,0,0,5,3,51
2-20-16,Luol Deng (MIA),SF,$5000,27,10,4,1,0,0,49
2-20-16,Dennis Schroder (ATL),PG,$4800,25,8,10,1,5,1,54.5
2-21-16,LeBron James (CLE),SF,$9700,25,7,11,3,5,0,56.25
2-21-16,Anthony Davis (NO),PF,$9700,59,20,4,0,2,1,93.5
2-21-16,Kevin Love (CLE),PF,$7300,29,11,4,0,0,0,50.25
2-21-16,Victor Oladipo (ORL),SG,$6500,17,7,8,3,1,2,47.25
2-21-16,Jordan Clarkson (LAL),PG,$5300,20,9,4,1,1,0,39.75
2-21-16,Nikola Jokic (DEN),C,$5200,23,13,4,2,4,0,49.25
2-21-16,Shelvin Mack (UTAH),PG,$3000,16,3,6,0,1,1,30.75
2-21-16,Vince Carter (MEM),SG,$3000,16,7,1,2,1,0,30.75
2-22-16,Paul George (IND),SF,$8400,31,11,4,3,3,0,58.75
2-22-16,Kyle Lowry (TOR),PG,$8300,22,11,11,0,2,0,56.75
2-22-16,Giannis Antetokounmpo (MIL),SF,$7100,27,12,10,3,1,4,75
2-22-16,Al Horford (ATL),C,$6500,23,16,6,3,1,5,69.5
2-22-16,Jae Crowder (BOS),SF,$5700,27,9,3,2,1,0,48.25
2-22-16,Avery Bradley (BOS),SG,$5200,22,2,2,3,1,0,35
2-22-16,Marcus Smart (BOS),PG,$4800,17,4,7,4,2,0,39.5
2-22-16,Josh McRoberts (MIA),PF,$3600,10,6,3,2,2,0,25.5
2-23-16,John Wall (WSH),PG,$9300,16,12,11,2,3,1,58
2-23-16,Brook Lopez (BKN),C,$7500,36,10,1,4,3,1,60
2-23-16,Nikola Vucevic (ORL),C,$7400,35,9,4,0,1,1,53.75
2-23-16,C.J. McCollum (POR),SG,$7200,34,5,6,1,3,0,52.25
2-23-16,Rudy Gay (SAC),SF,$6600,16,10,4,4,2,3,49.5
2-23-16,Jared Dudley (WSH),SF,$4500,18,4,5,1,2,0,34.5
2-23-16,Darrell Arthur (DEN),PF,$3700,14,5,4,2,1,0,31.75
2-23-16,Hollis Thompson (PHI),SG,$3600,14,3,2,1,0,0,24.25
2-24-16,Stephen Curry (GS),PG,$10400,42,7,7,1,7,2,66.75
2-24-16,Hassan Whiteside (MIA),C,$7600,21,13,0,1,2,2,43.75
2-24-16,Dwyane Wade (MIA),SG,$6900,32,3,7,1,4,1,48.25
2-24-16,Dirk Nowitzki (DAL),PF,$6100,33,6,0,2,2,0,44.5
2-24-16,Matt Barnes (MEM),SF,$5000,25,8,2,1,2,1,43.5
2-24-16,Taj Gibson (CHI),PF,$4900,17,7,7,2,1,0,39.75
2-24-16,D'Angelo Russell (LAL),PG,$4900,22,4,8,0,1,0,40
2-24-16,Jose Calderon (NY),PG,$4000,20,4,4,1,0,0,35
2-25-16,James Harden (HOU),SG,$10500,46,5,8,2,5,0,67.75
2-25-16,Stephen Curry (GS),PG,$10400,51,7,8,0,5,1,76.25
2-25-16,Thaddeus Young (BKN),PF,$6700,18,8,3,7,1,3,52
2-25-16,Norris Cole (NO),PG,$4900,21,6,8,0,4,0,39.5
2-25-16,Mirza Teletovic (PHX),SF,$4800,30,11,1,0,4,0,47.25
2-25-16,Donald Sloan (BKN),PG,$4600,13,9,6,0,1,0,32.75
2-25-16,Tyson Chandler (PHX),C,$4300,12,11,1,2,3,2,35.25
2-25-16,Amir Johnson (BOS),PF,$3700,15,8,2,1,0,1,32
2-26-16,DeMarcus Cousins (SAC),PF,$10600,26,15,9,2,7,2,65.25
2-26-16,Chris Paul (LAC),PG,$9600,40,8,13,2,2,0,76
2-26-16,Kyle Lowry (TOR),PG,$8400,43,5,9,4,2,0,70.75
2-26-16,Marvin Williams (CHA),PF,$5400,26,13,1,1,1,2,53.25
2-26-16,Robert Covington (PHI),SF,$5300,12,12,0,3,2,3,41
2-26-16,Arron Afflalo (NY),SG,$4500,14,12,3,1,1,0,37.5
2-26-16,David Lee (DAL),PF,$3100,14,14,2,1,1,0,37.5
2-26-16,Mike Muscala (ATL),C,$3000,6,4,2,3,0,0,20
2-27-16,Stephen Curry (GS),PG,$10700,46,3,6,2,3,0,67.25
2-27-16,Pau Gasol (CHI),C,$8500,22,16,14,1,3,3,74
2-27-16,Serge Ibaka (OKC),PF,$5700,15,20,1,1,1,2,48.5
2-27-16,Ryan Anderson (NO),PF,$5600,31,14,0,1,0,2,57.5
2-27-16,Evan Turner (BOS),SG,$5200,14,6,9,1,0,0,37
2-27-16,P.J. Tucker (PHX),SF,$4700,17,11,7,0,0,1,45.25
2-27-16,Alex Len (PHX),C,$4700,22,16,1,1,2,2,50
2-27-16,Eric Gordon (NO),SG,$4600,31,3,2,3,3,0,44.25
2-28-16,John Wall (WSH),PG,$9600,21,7,13,0,3,0,49.75
2-28-16,Al Horford (ATL),C,$7200,13,16,6,0,2,1,45
2-28-16,Dwyane Wade (MIA),SG,$7000,26,7,6,2,2,0,46.75
2-28-16,Chandler Parsons (DAL),SF,$6300,29,6,4,1,0,0,46.5
2-28-16,Monta Ellis (IND),SG,$5900,18,5,5,3,2,1,39.25
2-28-16,Robin Lopez (NY),C,$5600,14,14,2,0,1,3,41.5
2-28-16,Jerami Grant (PHI),SF,$4300,13,8,1,3,3,5,39
2-28-16,David Lee (DAL),PF,$3500,13,9,1,2,2,1,30.75
3-1-16,Draymond Green (GS),PF,$8600,15,13,9,4,5,1,54.75
3-1-16,Hassan Whiteside (MIA),C,$8300,26,14,1,0,1,4,54
3-1-16,Kemba Walker (CHA),PG,$8100,26,6,9,1,1,0,50
3-1-16,D'Angelo Russell (LAL),PG,$5800,39,6,3,1,3,0,55.5
3-1-16,Joe Johnson (MIA),SF,$5500,24,5,4,0,2,1,38.25
3-1-16,Wesley Matthews (DAL),SG,$4600,21,5,2,2,0,0,34.75
3-1-16,Andrew Bogut (GS),C,$4400,19,7,2,2,0,1,36.75
3-1-16,Ersan Ilyasova (ORL),PF,$4400,22,10,0,2,0,0,41
