Date;GID;Pos;Name;Starter;DK Pts;DK Salary;Team;H/A;Oppt;Team Score;Oppt Score;Minutes;Stat line
20151218;4363;SG;Butler, Jimmy;1;63;$7,500;chi;H;det;144;147;55.55;43pt 8rb 2as 2st 2bl 3to 1trey 14-29fg 14-16ft
20151218;4369;PG;Jackson, Reggie;1;60.5;$7,500;det;A;chi;147;144;49.50;31pt 6rb 13as 1st 2to 12-27fg 7-10ft
20151218;3766;PG;Jack, Jarrett;1;56.25;$6,200;bkn;A;ind;97;104;38.92;26pt 9rb 6as 3st 2bl 3to 3trey 8-15fg 7-7ft
20151218;4173;PG;Curry, Stephen;1;55.5;$10,700;gsw;H;mil;121;112;39.33;26pt 10rb 9as 2st 6to 2trey 7-14fg 10-11ft
20151218;4704;SG;Wiggins, Andrew;1;53.5;$6,700;min;H;sac;99;95;36.42;32pt 10rb 6as 4to 1trey 11-20fg 9-10ft
20151218;3786;PG;Paul, Chris;1;52;$7,800;lac;A;sas;107;115;34.37;27pt 2rb 10as 3st 2to 2trey 8-14fg 9-10ft
20151218;4073;PG;Rose, Derrick;1;51.5;$6,000;chi;H;det;144;147;54.22;34pt 4rb 8as 1st 4to 1trey 14-34fg 5-5ft
20151218;4266;SG;Bledsoe, Eric;1;49;$8,400;pho;H;nor;104;88;35.32;29pt 4rb 9as 2st 6to 1trey 12-17fg 4-5ft
20151218;4211;SG;DeRozan, DeMar;1;43.5;$7,200;tor;A;mia;108;94;39.73;30pt 4rb 4as 2st 3to 10-17fg 10-13ft
20151218;4657;SG;McCollum, C.J.;1;43;$6,800;por;A;orl;94;102;39.23;27pt 2rb 6as 2st 2to 3trey 11-19fg 2-3ft
20151218;4367;SG;Thompson, Klay;1;42.25;$7,000;gsw;H;mil;121;112;36.78;27pt 3rb 2as 1st 3bl 1to 2trey 8-16fg 9-10ft
20151218;4420;PG;Thomas, Isaiah;1;42.25;$7,700;bos;H;atl;101;109;33.33;29pt 1rb 6as 2st 5to 3trey 6-12fg 14-15ft
20151218;3872;PG;Rondo, Rajon;1;42;$8,700;sac;A;min;95;99;35.95;11pt 4rb 13as 3st 2to 4-8fg 3-4ft
20151218;4575;PG;Carter-Williams, Michael;1;39.75;$5,900;mil;A;gsw;112;121;38.93;24pt 5rb 4as 1st 1bl 2to 1trey 9-18fg 5-6ft
20151218;4523;PG;Lillard, Damian;1;39.25;$9,000;por;A;orl;94;102;36.05;19pt 3rb 10as 1st 6to 2trey 4-15fg 9-9ft
20151218;3891;PG;Lowry, Kyle;1;38.75;$8,500;tor;A;mia;108;94;37.90;21pt 3rb 4as 4st 1to 1trey 8-18fg 4-4ft
20151218;4595;PG;Schroder, Dennis;;38.5;$5,000;atl;A;bos;109;101;28.32;22pt 5as 4st 2trey 8-15fg 4-4ft
20151218;3970;SG;Afflalo, Arron;1;37.75;$4,800;nyk;A;phi;107;97;25.92;22pt 7rb 1as 1st 1bl 3trey 9-13fg 1-1ft
20151218;4414;PG;Rubio, Ricky;1;36.25;$7,200;min;H;sac;99;95;32.38;12pt 7rb 8as 2st 3to 2trey 3-10fg 4-4ft
20151218;4699;PG;Payton, Elfrid;1;35;$6,300;orl;H;por;102;94;35.78;19pt 6rb 3as 2st 1bl 4to 4-9fg 11-17ft
20151218;4616;SG;Caldwell-Pope, Kentavious;1;34.75;$5,200;det;A;chi;147;144;48.75;17pt 7rb 3as 1st 1bl 1to 2trey 7-18fg 1-4ft
20151218;4627;SG;Oladipo, Victor;;34.5;$6,100;orl;H;por;102;94;34.85;15pt 4rb 6as 3st 1bl 6to 1trey 7-14fg
20151218;3656;PG;Nelson, Jameer;1;33.75;$4,900;den;A;uta;88;97;33.33;15pt 5rb 6as 1st 1bl 2to 1trey 5-8fg 4-4ft
20151218;3571;SG;Wade, Dwyane;1;32;$6,900;mia;H;tor;94;108;31.47;21pt 6rb 5as 8to 8-16fg 5-5ft
20151218;3313;PG;Parker, Tony;1;29.75;$5,100;sas;H;lac;115;107;31.22;21pt 1rb 3as 1st 1to 3trey 8-15fg 2-2ft
20151218;3979;PG;Conley, Mike;1;29.5;$6,000;mem;A;dal;88;97;34.93;20pt 4rb 2as 1st 2to 1trey 6-12fg 7-7ft
20151218;4092;PG;Dragic, Goran;1;29;$5,400;mia;H;tor;94;108;33.40;18pt 2rb 5as 1st 2to 8-13fg 2-3ft
20151218;4490;SG;Middleton, Khris;1;28.5;$5,300;mil;A;gsw;112;121;38.17;16pt 2rb 4as 2st 2to 2trey 6-16fg 2-2ft
20151218;4549;SG;Ross, Terrence;;27.75;$4,000;tor;A;mia;108;94;25.38;17pt 1rb 1as 1st 2bl 1to 5trey 6-9fg
20151218;4744;SG;Hood, Rodney;1;27;$4,500;uta;H;den;97;88;32.72;12pt 4rb 5as 1st 1trey 4-10fg 3-4ft
20151218;3814;PG;Williams, Deron;1;26;$6,400;dal;H;mem;97;88;30.85;14pt 6rb 3as 1st 5to 1trey 3-8fg 7-8ft
20151218;3760;SG;Green, Gerald;;25.5;$4,400;mia;H;tor;94;108;31.15;20pt 1as 1st 1to 5trey 7-15fg 1-1ft
20151218;4026;SG;Stuckey, Rodney;;25.25;$4,500;ind;H;bkn;104;97;25.73;15pt 7rb 1as 5-11fg 5-7ft
20151218;3547;SG;Korver, Kyle;1;24.75;$4,300;atl;A;bos;109;101;35.22;11pt 5rb 2as 2st 1trey 4-9fg 2-2ft
20151218;4522;SG;Barton, Will;;24.25;$6,300;den;A;uta;88;97;23.32;16pt 3rb 2as 1st 2to 1trey 5-13fg 5-6ft
20151218;4077;SG;Gordon, Eric;1;23.75;$4,800;nor;A;pho;88;104;29.18;15pt 1rb 1as 2st 1bl 2to 2trey 2-11fg 9-11ft
20151218;4207;SG;Evans, Tyreke;1;23;$7,300;nor;A;pho;88;104;24.43;12pt 4rb 1as 2st 1bl 3to 4-10fg 4-4ft
20151218;3747;SG;Felton, Raymond;1;22.75;$5,400;dal;H;mem;97;88;27.77;8pt 3rb 6as 1st 2to 2trey 3-10fg
20151218;4212;PG;Holiday, Jrue;;22;$5,100;nor;A;pho;88;104;26.83;14pt 2rb 4as 2to 1trey 4-13fg 5-8ft
20151218;4469;PG;Wroten, Tony;;21.75;$4,000;phi;H;nyk;97;107;23.25;15pt 3rb 3as 1st 7to 5-10fg 5-8ft
