Date;GID;Pos;Name;Starter;DK Pts;DK Salary;Team;H/A;Oppt;Team Score;Oppt Score;Minutes;Stat line
20151202;4369;PG;Jackson, Reggie;1;65.25;$7,200;det;H;pho;127;122;39.93;34pt 3rb 16as 1st 3to 3trey 12-20fg 7-7ft
20151202;4321;PG;Wall, John;1;63.75;$8,000;was;H;lal;104;108;36.32;34pt 7rb 11as 2st 5to 3trey 11-19fg 9-12ft
20151202;4173;PG;Curry, Stephen;1;52.75;$10,600;gsw;A;cha;116;99;30.82;40pt 3rb 5as 5to 8trey 14-18fg 4-4ft
20151202;4224;SG;Harden, James;1;51.5;$10,300;hou;H;nor;108;101;37.67;24pt 10rb 6as 1st 1bl 1trey 7-20fg 9-10ft
20151202;3891;PG;Lowry, Kyle;1;48.75;$8,600;tor;A;atl;96;86;37.25;31pt 5rb 5as 2st 2to 2trey 9-17fg 11-12ft
20151202;4266;SG;Bledsoe, Eric;1;41.5;$8,300;pho;A;det;122;127;40.83;21pt 4rb 9as 2st 6to 2trey 8-20fg 3-3ft
20151202;1881;SG;Bryant, Kobe;1;41;$5,900;lal;A;was;108;104;35.57;31pt 2rb 3as 1st 2to 4trey 10-24fg 7-8ft
20151202;4221;PG;Teague, Jeff;1;35.75;$6,500;atl;H;tor;86;96;33.58;11pt 5rb 10as 1bl 1to 1trey 5-16fg 0-1ft
20151202;4363;SG;Butler, Jimmy;1;35;$7,700;chi;H;den;99;90;39.43;19pt 6rb 3as 1st 1bl 1to 1trey 5-16fg 8-8ft
20151202;3816;PG;Williams, Louis;;34.5;$3,900;lal;A;was;108;104;32.58;12pt 2rb 4as 7st 2to 2trey 3-8fg 4-4ft
20151202;4207;SG;Evans, Tyreke;1;32;$6,600;nor;A;hou;101;108;32.13;10pt 6rb 8as 1st 1bl 3to 2-9fg 6-8ft
20151202;4382;PG;Knight, Brandon;1;31.5;$8,000;pho;A;det;122;127;38.02;22pt 2rb 4as 1to 3trey 8-21fg 3-3ft
20151202;4367;SG;Thompson, Klay;1;29.75;$6,200;gsw;A;cha;116;99;29.10;21pt 3rb 1st 1bl 2to 4trey 8-18fg 1-2ft
20151202;4668;SG;Clarkson, Jordan;1;29.5;$5,600;lal;A;was;108;104;35.95;18pt 4rb 1as 3st 2to 6-14fg 6-6ft
20151202;4522;SG;Barton, Will;;29.5;$5,800;den;A;chi;90;99;26.93;16pt 8rb 2as 1trey 6-12fg 3-4ft
20151202;4026;SG;Stuckey, Rodney;;29.25;$3,900;ind;A;lac;103;91;32.25;18pt 5rb 2as 1st 6-13fg 6-6ft
20151202;4799;PG;Russell, D'Angelo;1;29;$5,100;lal;A;was;108;104;27.47;13pt 4rb 3as 4st 4to 1trey 6-14fg
20151202;4234;PG;Beverley, Patrick;1;27;$4,100;hou;H;nor;108;101;26.22;10pt 2rb 5as 2st 1bl 2trey 4-10fg
20151202;4073;PG;Rose, Derrick;1;27;$6,100;chi;H;den;99;90;37.00;12pt 2rb 9as 2to 3-17fg 6-8ft
20151202;3116;SG;Crawford, Jamal;;26.5;$5,000;lac;H;ind;91;103;37.08;16pt 6rb 3as 4to 1trey 5-16fg 5-5ft
20151202;4211;SG;DeRozan, DeMar;1;26.5;$7,200;tor;A;atl;96;86;35.60;17pt 4rb 2as 1bl 2to 1trey 7-16fg 2-3ft
20151202;4494;SG;Beal, Bradley;1;26.5;$7,000;was;H;lal;104;108;37.72;11pt 2rb 6as 2st 1bl 5to 1trey 4-12fg 2-2ft
20151202;4616;SG;Caldwell-Pope, Kentavious;1;26;$4,800;det;H;pho;127;122;46.15;10pt 6rb 2as 3st 2to 1trey 4-11fg 1-2ft
20151202;3740;PG;Calderon, Jose;1;25.5;$4,100;nyk;H;phi;99;87;26.82;11pt 2rb 5as 2st 1trey 4-8fg 2-2ft
20151202;3970;SG;Afflalo, Arron;1;25;$4,600;nyk;H;phi;99;87;23.08;13pt 8rb 1st 1to 1trey 6-10fg
20151202;4485;PG;Roberts, Brian;;24.5;$3,000;cha;H;gsw;99;116;19.87;5pt 6rb 5as 2st 1trey 2-7fg
20151202;4490;SG;Middleton, Khris;1;23.75;$5,800;mil;A;sas;70;95;30.37;16pt 3rb 3as 2to 1trey 6-11fg 3-3ft
20151202;4569;PG;Canaan, Isaiah;1;23.25;$5,400;phi;A;nyk;87;99;30.13;10pt 5rb 3as 1st 1to 2trey 4-15fg
20151202;4773;PG;Mudiay, Emmanuel;1;23.25;$5,500;den;A;chi;90;99;30.28;4pt 3rb 7as 2st 1bl 2to 2-13fg 0-2ft
20151202;4245;PG;Mills, Patty;;22.75;$3,600;sas;H;mil;95;70;22.47;13pt 3rb 3as 3trey 5-11fg
20151202;4885;SG;Booker, Devin;;22.25;$3,000;pho;A;det;122;127;22.83;18pt 1rb 1as 3trey 5-6fg 5-5ft
20151202;3745;SG;Ellis, Monta;1;22;$6,100;ind;A;lac;103;91;34.03;10pt 4rb 1as 2st 1bl 1to 4-8fg 2-2ft
