Date;GID;Pos;Name;Starter;DK Pts;DK Salary;Team;H/A;Oppt;Team Score;Oppt Score;Minutes;Stat line
20160305;4321;PG;Wall, John;1;53;$9,300;was;H;ind;99;100;39.33;25pt 6rb 12as 2st 7to 1trey 9-24fg 6-8ft
20160305;4224;SG;Harden, James;1;51.75;$10,500;hou;A;chi;100;108;39.80;36pt 5rb 8as 9to 4trey 10-26fg 12-14ft
20160305;4363;SG;Butler, Jimmy;1;48.25;$8,300;chi;H;hou;108;100;33.97;24pt 11rb 6as 1st 5to 1trey 6-13fg 11-12ft
20160305;4414;PG;Rubio, Ricky;1;45.75;$6,300;min;H;bkn;132;118;32.22;16pt 7rb 10as 2st 1to 2trey 5-8fg 4-5ft
20160305;4397;SG;Shumpert, Iman;;43.5;$3,400;cle;H;bos;120;103;34.70;12pt 16rb 4as 2st 2to 2trey 4-8fg 2-2ft
20160305;3786;PG;Paul, Chris;1;43.5;$9,500;lac;H;atl;97;107;37.02;17pt 6rb 11as 1st 4to 2trey 6-16fg 3-3ft
20160305;4704;SG;Wiggins, Andrew;1;42.5;$6,000;min;H;bkn;132;118;33.38;26pt 4rb 6as 1st 1to 2trey 10-14fg 4-4ft
20160305;4221;PG;Teague, Jeff;1;42.5;$5,900;atl;A;lac;107;97;28.85;22pt 6rb 7as 1st 2to 3trey 8-15fg 3-3ft
20160305;4420;PG;Thomas, Isaiah;1;40.75;$7,600;bos;A;cle;103;120;34.03;27pt 3rb 4as 1st 4trey 9-15fg 5-8ft
20160305;4212;PG;Holiday, Jrue;;39;$7,200;nor;H;uta;94;106;37.48;22pt 2rb 7as 2st 3to 3trey 9-22fg 1-1ft
20160305;3745;SG;Ellis, Monta;1;39;$5,800;ind;A;was;100;99;38.17;17pt 6rb 4as 4st 1trey 8-20fg
20160305;4073;PG;Rose, Derrick;1;34.25;$6,900;chi;H;hou;108;100;29.25;17pt 3rb 9as 1bl 6to 2trey 6-10fg 3-4ft
20160305;4379;PG;Irving, Kyrie;1;33.75;$7,500;cle;H;bos;120;103;30.13;20pt 3rb 4as 2bl 3to 3trey 7-13fg 3-4ft
20160305;3970;SG;Afflalo, Arron;1;33.25;$4,300;nyk;H;det;102;89;42.28;20pt 7rb 3as 1to 1trey 9-12fg 1-2ft
20160305;4706;SG;LaVine, Zach;1;32;$5,700;min;H;bkn;132;118;36.82;21pt 4as 2st 1to 3trey 9-12fg
20160305;4228;PG;Collison, Darren;;31.75;$4,900;sac;A;sas;94;104;33.37;12pt 3rb 7as 2st 1bl 1to 5-9fg 2-2ft
20160305;4693;SG;Brown, Markel;;29.25;$3,400;bkn;A;min;118;132;28.60;23pt 1rb 1as 1st 3trey 8-16fg 4-4ft
20160305;4655;PG;Larkin, Shane;;29;$3,400;bkn;A;min;118;132;33.77;18pt 2rb 5as 1st 3to 1trey 7-12fg 3-3ft
