Date;GID;Pos;Name;Starter;DK Pts;DK Salary;Team;H/A;Oppt;Team Score;Oppt Score;Minutes;Stat line
20160124;4224;SG;Harden, James;1;65.75;$10,100;hou;H;dal;115;104;35.67;23pt 15rb 10as 2bl 2to 3trey 7-18fg 6-6ft
20160124;4079;PG;Westbrook, Russell;1;53.75;$10,600;okc;A;bkn;106;116;39.68;27pt 11rb 7as 1st 3to 1trey 12-27fg 2-5ft
20160124;3786;PG;Paul, Chris;1;51.5;$9,700;lac;A;tor;94;112;31.08;23pt 4rb 11as 2st 1bl 4to 3trey 9-17fg 2-3ft
20160124;4549;SG;Ross, Terrence;;35.5;$3,500;tor;H;lac;112;94;33.22;18pt 4rb 2as 4st 2to 5trey 6-10fg 1-2ft
20160124;3891;PG;Lowry, Kyle;1;35;$8,500;tor;H;lac;112;94;36.33;21pt 4rb 6as 3to 3trey 7-14fg 4-5ft
20160124;4677;PG;Smart, Marcus;;33.75;$4,900;bos;A;phi;112;92;28.52;16pt 3rb 2as 4st 1bl 1to 3trey 6-11fg 1-2ft
20160124;4655;PG;Larkin, Shane;;30.75;$3,300;bkn;H;okc;116;106;20.90;9pt 3rb 4as 4st 2bl 4-7fg 1-1ft
20160124;3747;SG;Felton, Raymond;;30.5;$3,500;dal;A;hou;104;115;34.27;16pt 8rb 2as 1st 2to 1trey 6-10fg 3-3ft
20160124;4420;PG;Thomas, Isaiah;1;29.5;$7,800;bos;A;phi;112;92;24.43;20pt 2rb 4as 1st 3to 1trey 8-17fg 3-3ft
20160124;4269;SG;Bradley, Avery;1;29.5;$5,600;bos;A;phi;112;92;29.58;19pt 2rb 4as 1st 3to 3trey 7-13fg 2-2ft
20160124;4211;SG;DeRozan, DeMar;1;27.75;$8,300;tor;H;lac;112;94;33.10;18pt 5rb 2as 1to 2trey 6-17fg 4-4ft
20160124;4234;PG;Beverley, Patrick;1;26.25;$4,200;hou;H;dal;115;104;30.63;7pt 9rb 4as 1bl 1to 1trey 3-10fg
20160124;4435;PG;Sloan, Donald;1;26;$5,000;bkn;H;okc;116;106;27.47;11pt 6rb 2as 2st 1to 2trey 2-6fg 5-10ft
20160124;4185;SG;Ellington, Wayne;1;25;$3,200;bkn;H;okc;116;106;27.32;9pt 6rb 4as 1st 1trey 4-11fg
20160124;4318;SG;Turner, Evan;;24;$4,500;bos;A;phi;112;92;26.22;11pt 4rb 5as 1st 3to 4-9fg 3-4ft
20160124;3861;SG;Redick, J.J.;1;23.5;$5,400;lac;A;tor;94;112;28.28;17pt 2rb 2as 2trey 5-10fg 5-7ft
20160124;4405;PG;Joseph, Cory;;22;$3,500;tor;H;lac;112;94;22.67;12pt 2rb 3as 2st 2to 5-8fg 2-2ft
20160124;4164;SG;Matthews, Wes;1;21.25;$5,100;dal;A;hou;104;115;33.65;15pt 1rb 1as 1st 1to 4trey 5-11fg 1-2ft
20160124;4831;PG;McConnell, T.J.;;19.75;$3,200;phi;H;bos;92;112;16.42;8pt 5rb 2as 2st 3to 4-7fg
20160124;4315;PG;Smith, Ishmael;1;18.75;$7,500;phi;H;bos;92;112;25.52;7pt 1rb 4as 2st 1bl 3to 3-12fg 1-2ft
20160124;4882;PG;Payne, Cameron;;18;$3,400;okc;A;bkn;106;116;12.72;10pt 2as 1st 1bl 2trey 4-5fg
20160124;4159;PG;Lawson, Ty;;17.5;$4,500;hou;H;dal;115;104;23.55;10pt 2rb 2as 1bl 1to 1trey 4-6fg 1-1ft
20160124;4515;SG;Waiters, Dion;;15;$3,900;okc;A;bkn;106;116;32.75;9pt 1as 2st 1to 2trey 3-9fg 1-2ft
20160124;4569;PG;Canaan, Isaiah;;12.25;$4,100;phi;H;bos;92;112;15.33;7pt 3rb 1as 1st 5to 1trey 2-4fg 2-2ft
20160124;4500;PG;Marshall, Kendall;;12.25;$3,000;phi;H;bos;92;112; 7.73;2pt 1rb 2as 3st 1-3fg
20160124;3814;PG;Williams, Deron;1;11.25;$6,200;dal;A;hou;104;115;32.12;4pt 1rb 5as 3to 1-9fg 2-2ft
20160124;3054;PG;Terry, Jason;;10.5;$3,200;hou;H;dal;115;104;20.33;8pt 1as 2trey 3-5fg
20160124;4534;SG;Thompson, Hollis;;9.5;$3,600;phi;H;bos;92;112;23.60;5pt 2rb 1bl 1to 1trey 2-6fg
20160124;3882;PG;Barea, Jose;;8;$3,600;dal;A;hou;104;115;13.70;3pt 3as 1trey 1-7fg
20160124;4483;SG;Rivers, Austin;;8;$3,200;lac;A;tor;94;112;18.92;8pt 1as 3to 4-8fg
20160124;3637;PG;Harris, Devin;;5.75;$3,200;dal;A;hou;104;115;10.37;0pt 3rb 2as 2to
20160124;4703;SG;Stauskas, Nik;;4.25;$3,700;phi;H;bos;92;112;15.05;2pt 1rb 1as 1to 1-6fg
20160124;4546;PG;Prigioni, Pablo;;4;$3,300;lac;A;tor;94;112; 8.32;0pt 1as 2st 3to 0-1fg
20160124;4823;PG;Rozier, Terry;;3.25;$3,000;bos;A;phi;112;92; 5.78;2pt 1rb 0-2fg 2-2ft
20160124;4685;SG;Wilcox, C.J.;;2.75;$3,000;lac;A;tor;94;112; 4.97;0pt 1rb 1as 0-2fg
20160124;3116;SG;Crawford, Jamal;;2.5;$4,400;lac;A;tor;94;112;18.88;3pt 1to 1-6fg 1-1ft
20160124;4115;SG;Morrow, Anthony;;1.25;$3,000;okc;A;bkn;106;116; 4.75;0pt 1rb
20160124;4559;SG;Roberson, Andre;1;1;$3,100;okc;A;bkn;106;116;15.43;0pt 1as 1to
20160124;4791;PG;Wright, Delon;;0;$3,000;tor;H;lac;112;94; 3.90;1pt 2to 1-4ft
20160124;4825;SG;Hunter, R.J.;;0;$3,000;bos;A;phi;112;92; 2.03;0pt 0-1fg
20160124;4540;SG;Jenkins, John;;0;$3,000;dal;A;hou;104;115; 1.77;0pt
