Date;GID;Pos;Name;Starter;DK Pts;DK Salary;Team;H/A;Oppt;Team Score;Oppt Score;Minutes;Stat line
20160106;3786;PG;Paul, Chris;1;56.5;$9,200;lac;A;por;109;98;35.58;21pt 4rb 19as 1st 3to 9-19fg 3-4ft
20160106;4088;PG;Chalmers, Mario;;52;$4,100;mem;A;okc;94;112;38.53;23pt 8rb 9as 2st 1to 4trey 8-19fg 3-6ft
20160106;4523;PG;Lillard, Damian;1;48.75;$8,700;por;H;lac;98;109;43.45;20pt 7rb 9as 2st 1bl 3to 4trey 7-25fg 2-3ft
20160106;4420;PG;Thomas, Isaiah;1;48.25;$7,800;bos;H;det;94;99;36.02;22pt 5rb 10as 1st 1bl 2to 1trey 6-20fg 9-13ft
20160106;4379;PG;Irving, Kyrie;1;47.25;$6,500;cle;A;was;121;115;33.88;32pt 5rb 3as 2st 1bl 4to 1trey 14-22fg 3-5ft
20160106;3891;PG;Lowry, Kyle;1;45;$8,300;tor;A;bkn;91;74;35.60;17pt 8rb 6as 5st 2to 7-14fg 3-3ft
20160106;4440;PG;Walker, Kemba;1;44.5;$8,200;cha;A;pho;102;111;34.42;25pt 4rb 6as 2st 1bl 3to 2trey 9-24fg 5-6ft
20160106;4321;PG;Wall, John;1;43.75;$9,600;was;H;cle;115;121;40.38;20pt 3rb 12as 1st 7to 4trey 8-19fg 0-2ft
20160106;4079;PG;Westbrook, Russell;1;41.75;$11,600;okc;H;mem;112;94;29.92;20pt 7rb 7as 2st 3to 7-17fg 6-6ft
20160106;3745;SG;Ellis, Monta;1;40.5;$5,900;ind;A;orl;95;86;35.33;19pt 4rb 7as 4st 5to 1trey 6-13fg 6-6ft
20160106;3669;SG;Smith, J.R.;1;38.75;$4,500;cle;A;was;121;115;34.68;25pt 3rb 1as 3st 5trey 10-16fg
20160106;4207;SG;Evans, Tyreke;1;38.25;$7,700;nor;H;dal;91;100;35.12;16pt 9rb 5as 2st 2to 1trey 6-12fg 3-4ft
20160106;4885;SG;Booker, Devin;;37;$4,300;pho;H;cha;111;102;31.90;17pt 10rb 2as 1st 1to 3trey 7-13fg
20160106;3747;SG;Felton, Raymond;1;37;$4,600;dal;A;nor;100;91;36.53;22pt 2rb 6as 1st 3trey 6-14fg 7-7ft
20160106;4369;PG;Jackson, Reggie;1;35.5;$7,200;det;A;bos;99;94;31.45;24pt 2rb 6as 1to 1trey 8-15fg 7-8ft
20160106;4627;SG;Oladipo, Victor;1;35.25;$5,800;orl;H;ind;86;95;40.55;20pt 5rb 3as 1st 1bl 3to 4trey 7-13fg 2-2ft
20160106;4382;PG;Knight, Brandon;1;34.25;$7,400;pho;H;cha;111;102;39.67;18pt 3rb 7as 1bl 3to 3trey 7-15fg 1-1ft
20160106;3571;SG;Wade, Dwyane;1;32.5;$6,900;mia;H;nyk;90;98;30.50;18pt 6rb 6as 4to 8-16fg 2-2ft
20160106;4211;SG;DeRozan, DeMar;1;30;$8,100;tor;A;bkn;91;74;36.42;15pt 4rb 5as 2st 4to 1trey 5-13fg 4-5ft
20160106;4616;SG;Caldwell-Pope, Kentavious;1;29.5;$5,400;det;A;bos;99;94;37.35;20pt 4rb 1as 1st 2to 4trey 6-13fg 4-6ft
20160106;4199;SG;Temple, Garrett;1;29;$4,500;was;H;cle;115;121;34.25;21pt 4rb 1as 3trey 7-10fg 4-5ft
20160106;4212;PG;Holiday, Jrue;;29;$5,400;nor;H;dal;91;100;29.33;11pt 6rb 6as 1st 2to 1trey 5-13fg
20160106;4615;PG;Burke, Trey;;28.75;$4,900;uta;A;sas;98;123;24.30;21pt 1rb 4as 1trey 10-17fg
20160106;4102;PG;Hill, George;1;27.75;$5,300;ind;A;orl;95;86;33.65;16pt 3rb 3as 1st 3trey 5-9fg 3-3ft
20160106;4414;PG;Rubio, Ricky;1;27.5;$7,100;min;H;den;74;78;31.18;9pt 4rb 7as 1st 2trey 3-8fg 1-2ft
20160106;3637;PG;Harris, Devin;;27.5;$3,500;dal;A;nor;100;91;25.98;10pt 6rb 4as 2st 1to 1trey 4-8fg 1-2ft
20160106;4655;PG;Larkin, Shane;1;27.25;$4,500;bkn;H;tor;74;91;29.72;9pt 5rb 4as 3st 1to 1trey 4-8fg
20160106;3861;SG;Redick, J.J.;1;27.25;$5,500;lac;A;por;109;98;30.07;20pt 1rb 1as 2st 1to 2trey 8-13fg 2-2ft
20160106;4297;PG;Lin, Jeremy;1;25.25;$5,500;cha;A;pho;102;111;29.30;15pt 5rb 4as 5to 1trey 6-9fg 2-4ft
20160106;3021;SG;Ginobili, Manu;;25;$4,100;sas;H;uta;123;98;22.80;14pt 2rb 5as 1st 4to 2trey 6-10fg
20160106;4318;SG;Turner, Evan;1;24.5;$5,600;bos;H;det;94;99;35.52;17pt 6rb 1to 1trey 6-13fg 4-4ft
20160106;4658;PG;Daniels, Troy;;23.25;$3,000;cha;A;pho;102;111;23.18;13pt 3rb 2as 1st 3trey 5-9fg
20160106;4515;SG;Waiters, Dion;;21.25;$3,700;okc;H;mem;112;94;31.33;15pt 1rb 3as 1to 2trey 6-9fg 1-2ft
20160106;4077;SG;Gordon, Eric;1;21.25;$5,000;nor;H;dal;91;100;23.25;14pt 1rb 3as 1to 4trey 5-9fg
20160106;3789;PG;Price, Ronnie;1;21;$3,300;pho;H;cha;111;102;24.43;9pt 2rb 4as 2st 3to 2trey 3-7fg 1-2ft
20160106;4483;SG;Rivers, Austin;;20.75;$3,500;lac;A;por;109;98;25.13;16pt 3rb 2trey 7-10fg
20160106;4561;SG;Crabbe, Allen;1;20.25;$4,700;por;H;lac;98;109;33.93;11pt 3rb 2as 1st 1trey 4-10fg 2-2ft
20160106;4586;PG;McCallum, Ray;;20;$3,000;sas;H;uta;123;98;24.92;10pt 3as 2st 1bl 1to 4-7fg 2-2ft
20160106;3740;PG;Calderon, Jose;1;19.75;$4,200;nyk;A;mia;98;90;34.65;9pt 5rb 2as 1st 2to 1trey 4-5fg
20160106;4397;SG;Shumpert, Iman;;19.5;$3,800;cle;A;was;121;115;29.82;5pt 6rb 3as 1st 1trey 2-4fg
20160106;4020;PG;Sessions, Ramon;;19.25;$4,100;was;H;cle;115;121;16.25;9pt 1rb 6as 1to 1trey 3-7fg 2-2ft
20160106;4405;PG;Joseph, Cory;;18.75;$3,600;tor;A;bkn;91;74;22.83;10pt 3rb 3as 1st 3to 4-9fg 2-2ft
20160106;4756;SG;Johnson, Tyler;;18.25;$3,700;mia;H;nyk;90;98;21.48;8pt 3rb 3as 1st 4-6fg
20160106;3116;SG;Crawford, Jamal;;17.5;$4,000;lac;A;por;109;98;21.68;10pt 2rb 1as 2st 2to 1trey 4-13fg 1-1ft
20160106;4115;SG;Morrow, Anthony;;17.5;$3,700;okc;H;mem;112;94;18.35;14pt 2rb 2trey 3-4fg 6-6ft
20160106;4701;SG;Ingles, Joe;;17;$3,100;uta;A;sas;98;123;21.82;8pt 4rb 2as 1st 3to 1trey 3-6fg 1-1ft
20160106;4026;SG;Stuckey, Rodney;;16.75;$4,000;ind;A;orl;95;86;27.02;6pt 1rb 3as 2st 1bl 2to 2-6fg 2-2ft
20160106;3882;PG;Barea, Jose;1;16.5;$5,700;dal;A;nor;100;91;28.98;11pt 4rb 1as 4to 2trey 4-11fg 1-2ft
20160106;4300;SG;Neal, Gary;;16.25;$4,000;was;H;cle;115;121;20.75;13pt 1rb 1as 1trey 5-8fg 2-3ft
20160106;3760;SG;Green, Gerald;;15.25;$4,100;mia;H;nyk;90;98;26.27;7pt 3rb 1st 1bl 1trey 2-8fg 2-2ft
20160106;4522;SG;Barton, Will;;15;$7,100;den;A;min;78;74;25.63;7pt 6rb 1as 3to 1trey 2-6fg 2-2ft
20160106;4882;PG;Payne, Cameron;;14.25;$3,300;okc;H;mem;112;94;18.08;8pt 1rb 3as 1to 2trey 3-7fg
20160106;4704;SG;Wiggins, Andrew;1;14.25;$6,400;min;H;den;74;78;31.37;11pt 3rb 1as 4to 4-14fg 3-6ft
20160106;4610;PG;Dellavedova, Matthew;;14;$4,400;cle;A;was;121;115;28.25;3pt 4rb 4as 1to 1trey 1-5fg
20160106;4735;SG;Galloway, Langston;;13.75;$3,600;nyk;A;mia;98;90;14.45;5pt 3rb 2as 1st 2-3fg 1-1ft
20160106;3652;SG;Martin, Kevin;;13.5;$3,300;min;H;den;74;78;16.37;9pt 2rb 1as 1trey 3-9fg 2-2ft
20160106;3970;SG;Afflalo, Arron;1;13;$4,900;nyk;A;mia;98;90;40.38;9pt 2rb 1st 2to 1trey 4-10fg
20160106;4092;PG;Dragic, Goran;1;13;$5,800;mia;H;nyk;90;98;33.67;10pt 2rb 1as 2to 4-9fg 2-2ft
20160106;3858;PG;Foye, Randy;;12.25;$3,700;den;A;min;78;74;27.73;4pt 3rb 3as 2-7fg
20160106;4190;SG;Henderson, Gerald;;12;$3,200;por;H;lac;98;109;17.32;2pt 4rb 1as 1st 1bl 1to 1-6fg
20160106;4807;PG;Neto, Raul;1;12;$3,100;uta;A;sas;98;123;23.70;7pt 2rb 2as 2to 1trey 2-8fg 2-2ft
20160106;4435;PG;Sloan, Donald;;11.75;$3,100;bkn;H;tor;74;91;19.00;2pt 3rb 4as 1st 4to 1-3fg
20160106;4185;SG;Ellington, Wayne;;11.25;$3,600;bkn;H;tor;74;91;23.25;5pt 3rb 1as 1st 3to 1trey 2-8fg
20160106;4485;PG;Roberts, Brian;;11;$3,000;cha;A;pho;102;111;14.85;5pt 2rb 1as 1bl 2-7fg 1-1ft
20160106;2448;SG;Carter, Vince;;10.5;$3,000;mem;A;okc;94;112;12.00;4pt 3as 1bl 1-3fg 2-2ft
20160106;3656;PG;Nelson, Jameer;1;10.5;$5,500;den;A;min;78;74;20.30;6pt 3as 2to 2trey 2-8fg
20160106;4744;SG;Hood, Rodney;1;10.25;$5,800;uta;A;sas;98;123;20.67;9pt 1rb 1as 4to 1trey 2-5fg 4-4ft
20160106;4193;SG;Green, Danny;1;10;$3,900;sas;H;uta;123;98;11.02;6pt 2as 2trey 2-3fg
20160106;4706;PG;LaVine, Zach;;9.5;$5,000;min;H;den;74;78;16.82;2pt 4as 1st 1to 1-5fg
