Date;GID;Pos;Name;Starter;DK Pts;DK Salary;Team;H/A;Oppt;Team Score;Oppt Score;Minutes;Stat line
20151121;4224;SG;Harden, James;1;59.25;$10,200;hou;H;nyk;102;107;38.30;24pt 7rb 10as 3st 2bl 3to 3trey 8-20fg 5-5ft
20151121;3571;SG;Wade, Dwyane;1;49.25;$6,500;mia;H;phi;96;91;36.02;27pt 7rb 4as 3st 1bl 1to 8-17fg 11-13ft
20151121;3872;PG;Rondo, Rajon;1;42.25;$8,800;sac;A;orl;97;91;42.07;13pt 7rb 9as 3st 1to 3trey 5-9fg
20151121;4369;PG;Jackson, Reggie;1;36.75;$7,600;det;H;was;95;97;31.57;20pt 3rb 9as 1st 6to 1trey 8-18fg 3-3ft
20151121;4020;PG;Sessions, Ramon;;35.5;$3,300;was;A;det;97;95;20.93;14pt 4rb 9as 1st 2trey 2-5fg 8-10ft
20151121;3979;PG;Conley, Mike;1;32.75;$6,300;mem;A;sas;82;92;32.02;16pt 3rb 5as 2st 1bl 1to 5-12fg 6-6ft
20151121;3745;SG;Ellis, Monta;1;30.75;$6,300;ind;H;mil;123;86;30.28;12pt 5rb 5as 2st 1bl 3to 1trey 5-9fg 1-3ft
20151121;3970;SG;Afflalo, Arron;1;29.5;$4,300;nyk;A;hou;107;102;35.17;16pt 6rb 3as 1to 4trey 6-18fg 0-2ft
20151121;4569;PG;Canaan, Isaiah;;28.5;$3,300;phi;A;mia;91;96;27.95;22pt 2as 1st 2to 5trey 7-17fg 3-3ft
20151121;3669;SG;Smith, J.R.;1;28;$4,400;cle;H;atl;109;97;37.68;15pt 2rb 5as 1bl 2to 4trey 5-18fg 1-1ft
20151121;3313;PG;Parker, Tony;1;26.75;$4,700;sas;H;mem;92;82;31.58;18pt 1rb 3as 1st 1bl 2to 6-10fg 6-6ft
20151121;3021;SG;Ginobili, Manu;;25.5;$4,300;sas;H;mem;92;82;22.65;15pt 4rb 2as 1st 1to 2trey 6-11fg 1-2ft
20151121;4627;SG;Oladipo, Victor;1;25;$7,100;orl;H;sac;91;97;25.73;11pt 6rb 4as 1to 2trey 4-11fg 1-2ft
20151121;3740;PG;Calderon, Jose;1;25;$3,600;nyk;A;hou;107;102;32.77;11pt 7as 1st 3trey 3-5fg 2-2ft
20151121;4699;PG;Payton, Elfrid;1;24.75;$5,900;orl;H;sac;91;97;37.82;7pt 5rb 9as 5to 1trey 3-12fg
20151121;4221;PG;Teague, Jeff;;24.75;$7,000;atl;A;cle;97;109;25.88;13pt 1rb 4as 2st 1to 2trey 3-12fg 5-5ft
20151121;4321;PG;Wall, John;1;24;$8,600;was;A;det;97;95;27.07;8pt 2rb 7as 2st 2to 4-11fg
20151121;4735;SG;Galloway, Langston;;23.75;$4,300;nyk;A;hou;107;102;24.12;12pt 3rb 2as 1st 1bl 2trey 4-9fg 2-3ft
20151121;4616;SG;Caldwell-Pope, Kentavious;1;22.75;$5,000;det;H;was;95;97;37.08;16pt 1rb 1as 1st 4trey 6-11fg 0-1ft
20151121;4610;PG;Dellavedova, Matthew;1;21.5;$4,100;cle;H;atl;109;97;28.10;12pt 2rb 3as 1st 1trey 4-6fg 3-3ft
20151121;4831;PG;McConnell, T.J.;1;21.25;$5,200;phi;A;mia;91;96;29.58;6pt 5rb 5as 2st 5to 3-6fg
20151121;4092;PG;Dragic, Goran;1;21.25;$5,200;mia;H;phi;96;91;26.25;6pt 7rb 4as 1st 3to 3-7fg
20151121;3974;SG;Belinelli, Marco;;21;$4,100;sac;A;orl;97;91;26.72;13pt 2rb 3as 2trey 3-7fg 5-6ft
20151121;4026;SG;Stuckey, Rodney;;20.5;$3,800;ind;H;mil;123;86;21.97;7pt 2rb 5as 1st 1bl 1to 3-9fg 1-4ft
20151121;4110;SG;Lee, Courtney;;19.25;$3,600;mem;A;sas;82;92;34.50;15pt 1rb 2st 3to 1trey 5-10fg 4-4ft
20151121;4490;SG;Middleton, Khris;1;18;$5,600;mil;A;ind;86;123;27.62;8pt 2rb 1as 2st 1bl 1to 1trey 3-11fg 1-2ft
20151121;4199;SG;Temple, Garrett;;17.75;$3,500;was;A;det;97;95;25.65;8pt 5rb 1as 1st 1to 1trey 3-6fg 1-2ft
20151121;4228;PG;Collison, Darren;1;17.5;$4,700;sac;A;orl;97;91;35.72;9pt 2rb 1as 3st 4to 1trey 2-11fg 4-4ft
20151121;4501;SG;Cunningham, Jared;;16.5;$3,000;cle;H;atl;109;97;19.82;8pt 4rb 2st 2to 1trey 3-9fg 1-2ft
20151121;3547;SG;Korver, Kyle;1;16.25;$4,500;atl;A;cle;97;109;28.73;14pt 1rb 1as 4to 3trey 4-10fg 3-4ft
20151121;4193;SG;Green, Danny;1;16.25;$4,300;sas;H;mem;92;82;28.37;9pt 3rb 2as 1st 4to 1trey 4-10fg
20151121;3054;PG;Terry, Jason;1;16;$3,000;hou;H;nyk;102;107;31.03;11pt 1as 1st 3trey 4-11fg
20151121;4088;PG;Chalmers, Mario;;16;$3,700;mem;A;sas;82;92;21.05;6pt 2rb 4as 1st 1to 2-10fg 2-2ft
20151121;4595;PG;Schroder, Dennis;1;16;$5,600;atl;A;cle;97;109;16.17;7pt 2rb 2as 2st 2to 1trey 3-8fg
20151121;4703;SG;Stauskas, Nik;1;15.25;$3,800;phi;A;mia;91;96;24.63;8pt 1rb 2as 1bl 2trey 3-8fg
20151121;4072;SG;Mayo, O.J.;;14;$3,800;mil;A;ind;86;123;22.38;10pt 2rb 1as 2to 2trey 4-8fg
20151121;4589;SG;McLemore, Ben;1;12.75;$3,300;sac;A;orl;97;91;25.17;8pt 3rb 2as 4to 3-12fg 2-2ft
20151121;4575;PG;Carter-Williams, Michael;1;12.75;$5,900;mil;A;ind;86;123;25.65;7pt 3rb 3as 5to 3-5fg 1-3ft
20151121;2448;SG;Carter, Vince;;12.5;$3,000;mem;A;sas;82;92;19.82;7pt 4rb 1st 3to 3-6fg 1-1ft
20151121;4694;PG;Napier, Shabazz;;11.75;$3,000;orl;H;sac;91;97;11.95;3pt 3rb 3as 1trey 1-1fg
