Date;GID;Pos;Name;Starter;DK Pts;DK Salary;Team;H/A;Oppt;Team Score;Oppt Score;Minutes;Stat line
20160226;3786;PG;Paul, Chris;1;76;$9,600;lac;A;sac;117;107;36.33;40pt 8rb 13as 2st 2to 4trey 13-20fg 10-10ft
20160226;3891;PG;Lowry, Kyle;1;70.75;$8,400;tor;H;cle;99;97;42.82;43pt 5rb 9as 4st 2to 2trey 15-20fg 11-15ft
20160226;4321;PG;Wall, John;1;53;$9,200;was;A;phi;103;94;38.93;23pt 8rb 11as 1st 1bl 4to 9-19fg 5-5ft
20160226;4440;PG;Walker, Kemba;1;45.25;$7,900;cha;A;ind;96;95;37.40;22pt 3rb 10as 1st 1to 3trey 8-21fg 3-4ft
20160226;4221;PG;Teague, Jeff;1;40.75;$6,000;atl;H;chi;103;88;31.12;19pt 3rb 9as 2st 1to 2trey 6-13fg 5-6ft
20160226;3970;SG;Afflalo, Arron;1;37.5;$4,500;nyk;H;orl;108;95;31.93;14pt 12rb 3as 1st 1to 2trey 5-11fg 2-2ft
20160226;4522;SG;Barton, Will;;35.75;$5,500;den;A;dal;116;122;43.08;22pt 9rb 3as 4to 9-24fg 4-5ft
20160226;4315;PG;Smith, Ishmael;1;33.75;$6,600;phi;H;was;94;103;29.77;10pt 7rb 8as 2st 2to 5-15fg 0-1ft
20160226;4228;PG;Collison, Darren;1;33.75;$5,000;sac;H;lac;107;117;37.43;18pt 3rb 5as 2st 2to 3trey 6-9fg 3-4ft
20160226;4799;PG;Russell, D'Angelo;1;32.75;$5,200;lal;H;mem;95;112;29.85;22pt 3rb 3as 1st 1to 2trey 6-9fg 8-12ft
20160226;4627;SG;Oladipo, Victor;1;32.5;$7,000;orl;A;nyk;95;108;35.37;16pt 6rb 3as 1st 1bl 1to 2trey 6-14fg 2-4ft
20160226;4102;PG;Hill, George;1;32.5;$5,300;ind;H;cha;95;96;36.45;10pt 6rb 7as 2st 1to 2trey 3-13fg 2-2ft
20160226;3747;SG;Felton, Raymond;;31.5;$4,500;dal;H;den;122;116;39.60;16pt 4rb 6as 1st 1to 7-12fg 2-2ft
20160226;3979;PG;Conley, Mike;1;31.25;$7,200;mem;A;lal;112;95;28.67;17pt 1rb 7as 1st 1to 2trey 6-10fg 3-3ft
20160226;4078;PG;Augustin, D.J.;;30;$3,400;den;A;dal;116;122;35.65;20pt 2rb 3as 1st 1to 3trey 7-14fg 3-4ft
20160226;2448;SG;Carter, Vince;;27.75;$3,700;mem;A;lal;112;95;19.58;19pt 3rb 2as 1to 5trey 7-10fg
20160226;4164;SG;Matthews, Wes;1;27.25;$4,500;dal;H;den;122;116;40.55;17pt 3rb 2as 1st 1to 4trey 4-8fg 5-6ft
20160226;4678;SG;Harris, Gary;1;27;$4,800;den;A;dal;116;122;45.65;17pt 4rb 2st 1to 3trey 6-13fg 2-5ft
20160226;4699;PG;Payton, Elfrid;1;26.75;$4,800;orl;A;nyk;95;108;27.23;8pt 5rb 9as 2to 4-7fg
20160226;4564;PG;Curry, Seth;;26.5;$3,000;sac;H;lac;107;117;25.97;19pt 4rb 1st 2to 3trey 5-9fg 6-7ft
20160226;3861;SG;Redick, J.J.;1;23.75;$5,100;lac;A;sac;117;107;34.65;16pt 3rb 1as 1st 1trey 7-15fg 1-1ft
20160226;4776;SG;Hezonja, Mario;;23.75;$3,000;orl;A;nyk;95;108;26.48;8pt 7rb 3as 2st 3to 4-11fg
20160226;3816;SG;Williams, Louis;;22.75;$4,700;lal;H;mem;95;112;23.62;13pt 1rb 3as 2st 1to 1trey 4-8fg 4-5ft
20160226;4086;SG;Batum, Nicolas;1;22.5;$6,900;cha;A;ind;96;95;32.80;6pt 2rb 7as 2st 1bl 5to 2-6fg 2-2ft
20160226;3745;SG;Ellis, Monta;1;22.5;$6,000;ind;H;cha;95;96;41.42;14pt 6rb 2as 4to 4-13fg 6-6ft
20160226;3116;SG;Crawford, Jamal;;22.25;$5,700;lac;A;sac;117;107;26.38;21pt 1rb 7-19fg 7-8ft
20160226;4110;SG;Lee, Courtney;1;21;$3,900;cha;A;ind;96;95;39.08;7pt 4rb 2as 3st 1to 1trey 3-10fg
20160226;4549;SG;Ross, Terrence;;20.5;$3,800;tor;H;cle;99;97;27.05;15pt 2rb 1as 3trey 6-11fg
20160226;4628;SG;Hardaway Jr., Tim;;20;$3,000;atl;H;chi;103;88;19.03;9pt 6rb 1as 1st 1to 1trey 3-6fg 2-2ft
20160226;4703;SG;Stauskas, Nik;1;20;$3,700;phi;H;was;94;103;27.72;15pt 2rb 1as 1to 3trey 4-6fg 4-4ft
20160226;3637;PG;Harris, Devin;;19;$3,300;dal;H;den;122;116;22.37;9pt 2rb 2as 3st 3to 2-6fg 5-5ft
20160226;3740;PG;Calderon, Jose;1;18.25;$4,100;nyk;H;orl;108;95;30.90;14pt 3rb 1as 2to 6-8fg 2-2ft
20160226;4494;SG;Beal, Bradley;;18.25;$6,400;was;A;phi;103;94;27.85;9pt 3rb 4as 2to 1trey 4-14fg
20160226;3669;SG;Smith, J.R.;1;18.25;$5,200;cle;A;tor;97;99;32.13;13pt 3rb 3trey 5-8fg
20160226;3814;PG;Williams, Deron;1;18;$6,000;dal;H;den;122;116;31.27;12pt 4as 3to 3trey 3-7fg 3-4ft
