Date;GID;Pos;Name;Starter;DK Pts;DK Salary;Team;H/A;Oppt;Team Score;Oppt Score;Minutes;Stat line
20160310;4885;SG;Booker, Devin;1;48.25;$5,600;pho;A;den;98;116;44.08;35pt 3rb 5as 1st 1bl 5to 1trey 12-24fg 10-11ft
20160310;3313;PG;Parker, Tony;1;45.5;$4,500;sas;H;chi;109;101;31.55;20pt 4rb 12as 1st 2to 10-16fg 0-1ft
20160310;4379;PG;Irving, Kyrie;1;44;$7,700;cle;A;lal;120;108;37.10;26pt 2rb 9as 1bl 2to 2trey 11-20fg 2-2ft
20160310;4773;PG;Mudiay, Emmanuel;1;42;$6,500;den;H;pho;116;98;34.32;30pt 2rb 5as 1bl 4to 4trey 13-20fg 0-1ft
20160310;1881;SG;Bryant, Kobe;1;40.75;$4,900;lal;H;cle;108;120;32.20;26pt 5rb 2as 1st 1bl 3trey 11-16fg 1-2ft
20160310;4799;PG;Russell, D'Angelo;1;38.5;$7,200;lal;H;cle;108;120;33.12;24pt 4rb 5as 4trey 8-19fg 4-4ft
20160310;4364;SG;Moore, E'Twaun;1;38;$4,400;chi;A;sas;101;109;35.90;20pt 6rb 4as 1st 1bl 3to 4trey 8-12fg
20160310;4522;SG;Barton, Will;;36;$5,700;den;H;pho;116;98;30.20;17pt 8rb 3as 1st 1bl 1trey 6-12fg 4-5ft
20160310;4211;SG;DeRozan, DeMar;1;34.75;$7,500;tor;H;atl;104;96;34.58;30pt 5rb 4to 1trey 11-20fg 7-9ft
20160310;3891;PG;Lowry, Kyle;1;33.75;$8,700;tor;H;atl;104;96;37.95;19pt 1rb 7as 2st 3to 1trey 6-14fg 6-8ft
20160310;4073;PG;Rose, Derrick;1;33.25;$6,300;chi;A;sas;101;109;35.78;21pt 3rb 6as 2to 1trey 9-21fg 2-2ft
20160310;3669;SG;Smith, J.R.;1;30.5;$4,800;cle;A;lal;120;108;33.55;17pt 2rb 2as 2st 1bl 4trey 5-10fg 3-4ft
