Player,Team,Rank,Min,Pts,FGM/A,FTM/A,3PM/A,Reb,Ast,Stl,Blk,Tov,Foul,FP,Cost,Value
"Allen Crabbe (G, POR)",DET,#12,25.1,9.9,3.8-8.4,1.0-1.1,1.4-3.8,2.7,1.2,0.9,0.2,0.9,2.3,16.24,$3600,4.51
"Terrence Ross (GF, TOR)",HOU,#17,26.6,10.3,3.9-8.9,0.6-0.8,2.0-5.0,2.7,0.8,0.7,0.3,0.7,1.8,16.04,$3800,4.22
"Al-Farouq Aminu (F, POR)",DET,#12,21.7,7.6,2.8-6.6,1.1-1.5,0.9-2.6,4.6,1.3,0.6,0.5,1.3,1.7,15.97,$4100,3.9
"Gerald Henderson (GF, POR)",DET,#12,23,9.6,3.6-8.5,1.4-2.0,1.0-2.6,3.3,1.2,0.6,0.2,1.0,1.4,15.96,$3900,4.09
"Lance Stephenson (GF, MEM)",PHX,#28,22.2,7.6,3.1-6.3,0.1-1.2,0.1-1.2,4,2.2,0.9,0.0,1.7,2.3,15.8,$3900,4.05
"Patrick Patterson (FC, TOR)",HOU,#17,28.2,7.2,2.9-6.8,0.4-0.6,1.2-3.5,4.5,1.3,0.8,0.3,1.0,2.1,15.75,$3500,4.5
"Josh Richardson (GF, MIA)",PHI,#30,27.8,6.4,2.2-5.9,1.1-1.5,0.8-2.4,3.2,1.9,1.1,0.7,1.1,3.1,15.59,$3600,4.33
"Brandon Bass (FC, LAL)",GS,#2,19.5,6.6,2.5-4.6,1.6-2.0,0.0-0.1,4.3,1.0,0.6,0.8,0.6,1.8,15.46,$3700,4.18
"Meyers Leonard (FC, POR)",DET,#12,21.5,7.9,3.1-6.9,0.7-1.0,1.0-2.8,4.9,1.3,0.2,0.3,1.3,2.8,15.43,$3500,4.41
"Justise Winslow (F, MIA)",PHI,#30,26.7,6.1,2.3-5.4,1.0-1.5,0.3-1.4,5,1.3,0.9,0.4,1.3,2.3,15.35,$4100,3.74
"JaKarr Sampson (SF, DEN)",DAL,#13,23.7,7.8,3.0-6.6,1.3-2.5,0.3-1.2,4.4,1.0,0.6,0.6,1.7,3.0,15.28,$3500,4.37
"Corey Brewer (GF, HOU)",TOR,#6,21.9,7.9,2.8-7.3,1.4-1.8,0.9-3.0,2.5,1.7,1.2,0.2,1.0,2.2,15.25,$3600,4.24
"Miles Plumlee (FC, MIL)",OKC,#4,18.2,6.4,2.9-4.6,0.6-1.2,0.0-0.0,5,0.4,0.4,1.2,1.0,2.2,15.2,$3700,4.11
"Roy Hibbert (C, LAL)",GS,#2,20.5,5.8,2.3-4.9,1.4-1.7,0.0-0.0,4.4,1.1,0.3,1.3,0.9,2.6,15.03,$3500,4.29
"JaMychal Green (PF, MEM)",PHX,#28,19.6,7.2,2.8-5.4,1.1-1.9,0.3-0.6,5.2,0.6,0.6,0.4,1.4,2.8,14.94,$3700,4.04
"D.J. Augustin (PG, DEN)",DAL,#13,22.6,7.7,2.6-6.0,1.3-1.7,1.3-2.9,1.9,3.1,0.6,0.1,1.3,1.9,14.73,$4000,3.68
"T.J. McConnell (PG, PHI)",MIA,#10,17.3,5.2,2.2-4.9,0.1-0.5,0.4-1.0,2.7,3.7,1.0,0.1,1.6,1.3,14.59,$3500,4.17
"Joffrey Lauvergne (FC, DEN)",DAL,#13,17.1,7.4,3.0-6.0,1.2-1.5,0.2-0.7,4.6,0.9,0.2,0.3,0.9,1.9,14.37,$3600,3.99
"Shaun Livingston (G, GS)",LAL,#29,19,6.3,2.5-5.1,1.0-1.2,0.2-0.7,2,2.9,0.7,0.3,1.0,1.6,14.05,$3900,3.6
"Donatas Motiejunas (F, HOU)",TOR,#6,20,7.7,3.1-6.0,0.0-1.9,0.7-1.9,3,1.9,0.7,0.0,1.9,2.3,13.65,$3500,3.9
"Clint Capela (FC, HOU)",TOR,#6,14.1,4.7,2.0-3.6,0.7-1.7,0.0-0.0,4.5,0.7,0.7,0.9,0.7,1.9,13.65,$4000,3.41
"Larry Nance Jr. (PF, LAL)",GS,#2,18.8,5.3,2.3-4.6,0.5-0.8,0.1-0.3,4.5,0.7,0.8,0.3,0.6,1.8,13.35,$3600,3.71
"Josh Smith (F, HOU)",TOR,#6,15,5.4,2.1-5.8,0.5-1.1,0.5-1.8,3.6,1.3,0.5,0.8,1.2,1.9,13.07,$3500,3.73
"Marreese Speights (FC, GS)",LAL,#29,12.2,7.0,2.7-6.2,0.8-1.6,0.1-0.5,3.7,0.8,0.1,0.5,0.9,1.7,12.94,$3500,3.7
"Juan Jose Barea (PG, DAL)",DEN,#24,15.7,7.2,2.7-6.4,1.0-1.0,1.0-2.4,1.3,2.8,0.4,0.0,1.0,1.0,12.76,$3700,3.45
"Norman Powell (SG, TOR)",HOU,#17,16.9,4.6,1.9-5.9,0.0-0.1,0.1-1.9,2.6,1.4,1.4,0.0,0.1,1.9,12.52,$3500,3.58
"P.J. Hairston (GF, MEM)",PHX,#28,21.5,7.0,2.5-6.6,0.9-1.1,1.1-3.4,2.8,0.8,0.6,0.2,0.8,2.1,12.36,$3500,3.53
"Amar'e Stoudemire (FC, MIA)",PHI,#30,13.3,4.9,2.0-3.6,0.8-1.3,0.0-0.0,4.2,0.6,0.3,0.8,0.8,1.6,12.24,$3900,3.14
"Nick Young (GF, LAL)",GS,#2,22,8.4,2.8-7.9,0.2-1.4,1.4-4.9,2.2,0.8,0.2,0.1,0.8,1.2,12.04,$3500,3.44
"Andre Roberson (GF, OKC)",MIL,#26,21.7,5.0,2.0-4.4,0.5-0.8,0.5-1.7,3.3,0.8,0.7,0.5,0.6,1.9,11.96,$3500,3.42
"Aron Baynes (C, DET)",POR,#14,14,4.9,1.9-4.0,0.9-1.5,0.0-0.0,4.1,0.7,0.3,0.5,0.8,1.8,11.67,$3500,3.33
"Randy Foye (G, OKC)",MIL,#26,19.4,5.8,2.2-5.9,0.6-0.8,0.8-2.7,1.9,1.9,0.5,0.3,0.9,1.5,11.63,$3500,3.32
"Devin Harris (G, DAL)",DEN,#24,15.2,5.8,2.0-4.6,1.0-1.6,0.7-2.0,1.5,1.7,0.7,0.2,0.7,1.4,11.25,$3500,3.21
