Player,Team,Rank,Min,Pts,FGM/A,FTM/A,3PM/A,Reb,Ast,Stl,Blk,Tov,Foul,FP,Cost,Value
"Jeremy Evans (F, DAL)",DEN,#24,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0,0.0,0.0,0.0,0.0,0.0,0,$3500,0
"Cory Jefferson (PF, PHX)",MEM,#16,0.1,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0,0.0,0.0,0.0,0.0,0.0,0,$3500,0
"Jordan Adams (SG, MEM)",PHX,#28,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0,0.0,0.0,0.0,0.0,0.0,0,$3500,0
"T.J. Warren (SF, PHX)",MEM,#16,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0,0.0,0.0,0.0,0.0,0.0,0,$0,0
"James Ennis (GF, MEM)",PHX,#28,0.1,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0,0.0,0.0,0.0,0.0,0.0,0,$3500,0
"Brandon Knight (G, PHX)",MEM,#16,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0,0.0,0.0,0.0,0.0,0.0,0,$6500,0
"Brandan Wright (FC, MEM)",PHX,#28,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0,0.0,0.0,0.0,0.0,0.0,0,$3700,0
"Marc Gasol (C, MEM)",PHX,#28,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0,0.0,0.0,0.0,0.0,0.0,0,$0,0
"Tony Allen (GF, MEM)",PHX,#28,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0,0.0,0.0,0.0,0.0,0.0,0,$4100,0
"DeJuan Blair (FC, PHX)",MEM,#16,0.1,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0,0.0,0.0,0.0,0.0,0.0,0,$3500,0
"Anthony Brown (SF, LAL)",GS,#2,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0,0.0,0.0,0.0,0.0,0.0,0,$3500,0
"Festus Ezeli (C, GS)",LAL,#29,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0,0.0,0.0,0.0,0.0,0.0,0,$0,0
"Louis Williams (SG, LAL)",GS,#2,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0,0.0,0.0,0.0,0.0,0.0,0,$4900,0
"Andre Iguodala (GF, GS)",LAL,#29,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0,0.0,0.0,0.0,0.0,0.0,0,$3900,0
"Michael Carter-Williams (PG, MIL)",OKC,#4,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0,0.0,0.0,0.0,0.0,0.0,0,$5700,0
"John Henson (FC, MIL)",OKC,#4,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0,0.0,0.0,0.0,0.0,0.0,0,$3800,0
"Steve Novak (F, MIL)",OKC,#4,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0,0.0,0.0,0.0,0.0,0.0,0,$3500,0
"Greivis Vasquez (G, MIL)",OKC,#4,0,0.0,0.0-0.0,0.0-0.0,0.0-0.0,0,0.0,0.0,0.0,0.0,0.0,0,$3600,0
