Date;GID;Pos;Name;Starter;DK Pts;DK Salary;Team;H/A;Oppt;Team Score;Oppt Score;Minutes;Stat line
20160108;4523;PG;Lillard, Damian;1;69.75;$8,400;por;H;gsw;108;128;37.82;40pt 3rb 10as 2st 2bl 3to 6trey 12-27fg 10-12ft
20160108;4079;PG;Westbrook, Russell;1;62.5;$10,800;okc;A;lal;117;113;34.57;36pt 12rb 7as 1st 6to 1trey 11-24fg 13-16ft
20160108;4367;SG;Thompson, Klay;1;54.5;$8,000;gsw;A;por;128;108;32.35;36pt 6rb 5as 7trey 13-22fg 3-4ft
20160108;3816;SG;Williams, Louis;1;54;$5,900;lal;H;okc;113;117;34.95;44pt 2rb 1as 2st 1to 5trey 12-25fg 15-15ft
20160108;4575;PG;Carter-Williams, Michael;1;54;$7,000;mil;H;dal;96;95;41.20;15pt 12rb 8as 5st 1bl 3to 5-12fg 5-8ft
20160108;4207;SG;Evans, Tyreke;1;50.75;$7,700;nor;H;ind;86;91;38.32;27pt 7rb 5as 4st 4to 3trey 10-19fg 4-4ft
20160108;4211;SG;DeRozan, DeMar;1;50.5;$8,000;tor;A;was;97;88;39.60;35pt 8rb 1as 1st 1bl 1to 1trey 11-24fg 12-13ft
20160108;3891;PG;Lowry, Kyle;1;49.5;$8,600;tor;A;was;97;88;41.15;21pt 10rb 4as 4st 1bl 6to 3trey 8-18fg 2-2ft
20160108;4173;PG;Curry, Stephen;1;46.75;$10,500;gsw;A;por;128;108;28.83;26pt 3rb 9as 1st 1to 4trey 8-18fg 6-6ft
20160108;4704;SG;Wiggins, Andrew;1;46;$6,200;min;H;cle;99;125;39.48;35pt 2rb 3as 1st 1bl 3to 3trey 12-19fg 8-12ft
20160108;4627;SG;Oladipo, Victor;1;43.25;$6,600;orl;A;bkn;83;77;35.97;20pt 9rb 2as 3st 1bl 4to 6trey 7-11fg
20160108;4092;PG;Dragic, Goran;1;39.5;$5,700;mia;A;pho;103;95;36.42;22pt 2rb 7as 2st 2to 3trey 8-15fg 3-4ft
20160108;4397;SG;Shumpert, Iman;;37.75;$3,800;cle;A;min;125;99;28.90;23pt 3rb 1as 4st 3trey 9-19fg 2-2ft
20160108;4490;SG;Middleton, Khris;1;37.75;$6,900;mil;H;dal;96;95;39.15;27pt 3rb 5as 1to 10-18fg 7-9ft
20160108;3571;SG;Wade, Dwyane;1;36;$6,800;mia;A;pho;103;95;33.15;27pt 2rb 2as 1st 2bl 5to 9-14fg 9-10ft
20160108;4382;PG;Knight, Brandon;1;35.5;$7,500;pho;H;mia;95;103;36.55;26pt 4rb 4as 4to 1trey 11-24fg 3-3ft
20160108;1881;SG;Bryant, Kobe;1;34.5;$6,300;lal;H;okc;113;117;28.47;19pt 4rb 6as 1st 2to 1trey 8-20fg 2-2ft
20160108;3313;PG;Parker, Tony;1;33.75;$5,100;sas;H;nyk;100;99;32.45;16pt 5rb 8as 1to 7-16fg 2-2ft
20160108;3669;SG;Smith, J.R.;1;33.5;$4,800;cle;A;min;125;99;19.10;27pt 2st 5trey 10-12fg 2-2ft
20160108;3760;SG;Green, Gerald;;33.5;$4,000;mia;A;pho;103;95;34.00;21pt 4rb 3as 1st 2trey 7-11fg 5-7ft
20160108;4321;PG;Wall, John;1;33;$9,400;was;H;tor;88;97;36.57;21pt 2rb 4as 3bl 7to 2trey 8-20fg 3-3ft
20160108;4212;PG;Holiday, Jrue;;32;$5,400;nor;H;ind;86;91;35.25;15pt 4as 4st 2bl 3to 1trey 5-12fg 4-6ft
20160108;4083;SG;Rush, Brandon;1;30.5;$3,500;gsw;A;por;128;108;29.17;20pt 4rb 1st 1bl 1to 4trey 8-9fg
20160108;4072;SG;Mayo, O.J.;;30.25;$4,200;mil;H;dal;96;95;34.63;11pt 5rb 6as 1st 1bl 3to 3trey 4-8fg 0-1ft
20160108;3021;SG;Ginobili, Manu;;29.75;$4,100;sas;H;nyk;100;99;22.23;16pt 5rb 3as 1bl 2trey 6-12fg 2-2ft
20160108;4885;SG;Booker, Devin;1;28;$4,700;pho;H;mia;95;103;37.33;16pt 6rb 2as 1st 2to 1trey 6-17fg 3-4ft
20160108;3745;SG;Ellis, Monta;1;28;$6,000;ind;A;nor;91;86;33.63;10pt 4rb 8as 1st 1bl 6to 5-11fg
20160108;4193;SG;Green, Danny;1;27.5;$3,800;sas;H;nyk;100;99;34.52;8pt 4rb 3as 2st 3bl 2to 2trey 3-9fg
20160108;4668;PG;Clarkson, Jordan;1;27.25;$5,700;lal;H;okc;113;117;35.15;17pt 3rb 2as 2st 3to 2trey 6-12fg 3-4ft
20160108;4414;PG;Rubio, Ricky;1;27;$7,000;min;H;cle;99;125;25.75;8pt 4rb 6as 2st 2trey 2-6fg 2-2ft
20160108;3637;PG;Harris, Devin;;27;$3,700;dal;A;mil;95;96;18.98;19pt 2rb 3as 1to 3trey 7-12fg 2-2ft
20160108;4657;SG;McCollum, C.J.;1;26.25;$7,300;por;H;gsw;108;128;35.82;17pt 3rb 3as 1to 3trey 7-23fg
20160108;4164;SG;Matthews, Wes;1;25.5;$5,100;dal;A;mil;95;96;38.62;12pt 2rb 3as 2st 1bl 2to 3trey 4-12fg 1-2ft
20160108;4088;PG;Chalmers, Mario;1;24.5;$4,600;mem;H;den;91;84;40.22;12pt 6rb 4as 4to 2trey 3-13fg 4-4ft
20160108;4561;SG;Crabbe, Allen;;22.25;$4,600;por;H;gsw;108;128;29.92;18pt 1rb 2st 2to 8-14fg 2-2ft
20160108;3970;SG;Afflalo, Arron;1;22;$4,800;nyk;A;sas;99;100;40.48;8pt 4rb 4as 1bl 2trey 3-8fg
20160108;4655;PG;Larkin, Shane;1;22;$4,700;bkn;H;orl;77;83;29.95;12pt 4rb 3as 1st 4to 1trey 5-8fg 1-2ft
20160108;4020;PG;Sessions, Ramon;;21.5;$4,100;was;H;tor;88;97;22.42;14pt 4rb 1as 1bl 3to 1trey 5-11fg 3-3ft
20160108;4026;SG;Stuckey, Rodney;;21.25;$4,000;ind;A;nor;91;86;28.45;8pt 7rb 4as 3to 4-9fg
20160108;3656;PG;Nelson, Jameer;1;20.75;$5,300;den;A;mem;84;91;30.35;0pt 3rb 9as 1st 1bl 1to 0-3fg
20160108;3747;SG;Felton, Raymond;;20.25;$4,700;dal;A;mil;95;96;23.13;9pt 1rb 4as 1st 1bl 2to 2trey 3-10fg 1-2ft
