Date;GID;Pos;Name;Starter;DK Pts;DK Salary;Team;H/A;Oppt;Team Score;Oppt Score;Minutes;Stat line
20151229;4079;PG;Westbrook, Russell;1;54.75;$10,500;okc;H;mil;131;123;34.78;27pt 7rb 7as 5st 3to 10-22fg 7-8ft
20151229;4224;SG;Harden, James;1;52;$10,300;hou;H;atl;115;121;38.75;26pt 10rb 8as 1st 7to 3trey 6-16fg 11-12ft
20151229;4490;SG;Middleton, Khris;1;50.5;$6,100;mil;A;okc;123;131;36.90;36pt 7as 1st 2to 6trey 13-22fg 4-4ft
20151229;4575;PG;Carter-Williams, Michael;1;47.25;$6,700;mil;A;okc;123;131;31.68;19pt 9rb 9as 2st 2to 1trey 8-14fg 2-6ft
20151229;4522;SG;Barton, Will;;43.25;$6,900;den;H;cle;87;93;34.28;29pt 7rb 1as 2bl 3to 3trey 11-20fg 4-4ft
20151229;4221;PG;Teague, Jeff;1;43;$6,300;atl;A;hou;121;115;33.57;22pt 2rb 8as 3st 1to 2trey 8-18fg 4-5ft
20151229;3571;SG;Wade, Dwyane;1;37.75;$6,800;mia;A;mem;90;99;37.42;19pt 5rb 5as 3st 2to 9-18fg 1-5ft
20151229;4369;PG;Jackson, Reggie;1;35.75;$7,300;det;A;nyk;96;108;31.27;17pt 5rb 9as 3to 1trey 6-17fg 4-4ft
20151229;4092;PG;Dragic, Goran;1;27.75;$5,500;mia;A;mem;90;99;41.35;16pt 3rb 5as 1st 4to 1trey 7-10fg 1-2ft
20151229;4397;SG;Shumpert, Iman;;27.75;$3,800;cle;A;den;93;87;31.07;16pt 3rb 2as 2st 2trey 7-13fg
20151229;4882;PG;Payne, Cameron;;27.25;$3,000;okc;H;mil;131;123;15.73;16pt 3rb 3as 1st 2trey 5-6fg 4-4ft
20151229;4088;PG;Chalmers, Mario;;27.25;$3,900;mem;H;mia;99;90;22.85;12pt 5rb 4as 1st 2trey 4-11fg 2-2ft
20151229;3979;PG;Conley, Mike;1;27.25;$6,400;mem;H;mia;99;90;38.38;16pt 3rb 5as 1to 1trey 5-12fg 5-5ft
20151229;4678;SG;Harris, Gary;1;27.25;$4,300;den;H;cle;87;93;32.55;12pt 7rb 2as 2st 2to 1trey 5-13fg 1-2ft
20151229;3740;PG;Calderon, Jose;1;25;$3,800;nyk;H;det;108;96;33.32;15pt 2rb 4as 3trey 5-6fg 2-2ft
20151229;4159;PG;Lawson, Ty;;24.25;$3,800;hou;H;atl;115;121;25.98;14pt 1rb 4as 1st 2trey 6-9fg
20151229;4756;SG;Johnson, Tyler;;24;$3,700;mia;A;mem;90;99;30.55;13pt 4rb 3as 3trey 4-8fg 2-2ft
20151229;4072;SG;Mayo, O.J.;;23.5;$5,100;mil;A;okc;123;131;25.70;14pt 2rb 2as 2st 2to 2trey 5-12fg 2-2ft
20151229;4610;PG;Dellavedova, Matthew;1;23.25;$4,800;cle;A;den;93;87;29.25;4pt 7rb 5as 2st 2to 1-5fg 2-2ft
